outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
350	10037	37	1	350	333.519894319636	16.480105680364	NaN	18.480105680364	352	1	0	0	16	0	1.37876360001974	0.816237500170246	40.2363583092738	1
352	10037	37	1	352	349.300656625696	2.69934337430417	15.7807623060598	2.69934337430417	352	0	1	1	16	0	2.08860689983703	0.00962949986569583	342.084334053667	0
336	10037	37	1	336	350.998244877439	-14.9982448774387	1.69758825174286	1.00175512256131	352	0	2	0	16	1	1.97045599995181	0.120347199961543	32.0053832080835	0
11	10037	37	1	11	351.065921784432	19.9340782155683	0.0676769069929944	0.934078215568313	352	0	3	0	16	0	2.60423299996182	0.311478500021622	183.81407483429	0
349	10037	37	1	349	351.295042893601	-2.29504289360106	0.229121109169407	0.704957106398906	352	0	4	1	16	0	2.48318129987456	0.4038225999102	37.8749836510982	0
336	10037	37	1	336	350.235442120112	-14.2354421201116	-1.05960077348946	1.76455787988836	352	0	5	1	16	0	1.42803899990395	0.143034999957308	7.1250163489018	0
1	10037	37	1	1	346.642877285701	14.3571227142989	-3.59256483441052	5.35712271429888	352	0	6	0	16	0	1.6545057001058	0.260043499991298	344.475889003246	0
2	10037	37	1	2	347.607286523054	14.392713476946	0.964409237352883	4.392713476946	352	0	7	0	16	0	1.41828930005431	0.303757700137794	16.927513064147	0
338	10037	37	1	338	347.587351846882	-9.58735184688238	-0.0199346761716184	4.41264815311762	352	0	8	1	16	0	1.75421159993857	0.358164599863812	23.1985905136482	0
147	10037	37	1	147	346.493644587418	160.506355412582	-1.09370725946473	155.506355412582	142	1	0	0	16	0	2.43282629991882	0.0920657999813557	11.3099324740202	0
146	10037	37	1	146	147.528807709152	-1.52880770915154	161.035163121734	-5.52880770915154	142	0	1	1	16	0	1.16939809988253	0.156716599827632	100.619655276155	0
147	10037	37	1	147	141.426028055496	5.57397194450424	-6.10277965365579	0.573971944504251	142	0	2	1	16	1	1.75995839992538	0.142042499966919	71.565051177078	0
142	10037	37	1	142	142.057846649881	-0.0578466498810858	0.631818594385335	-0.0578466498810858	142	0	3	1	16	0	1.51016640011221	0.412136700004339	193.240519915187	0
158	10037	37	1	158	142.086895410074	15.9131045899263	0.0290487601925937	-0.0868954100736855	142	0	4	0	16	0	1.77168960007839	0.30640870006755	104.931417178138	0
153	10037	37	1	153	142.403728852788	10.596271147212	0.316833442714356	-0.403728852788038	142	0	5	1	16	0	1.02784660016187	0.396874000085518	153.434948822922	0
134	10037	37	1	134	142.125016348902	-8.12501634890178	-0.278712503886253	-0.125016348901787	142	0	6	1	16	0	1.09052380011417	0.360567700117826	156.037511025422	0
14	10037	37	1	14	142.491325104377	-128.491325104377	0.366308755475382	-127.491325104377	15	1	0	0	16	0	2.81862029992044	0.119989800034091	113.198590513648	0
62	10037	37	1	62	13.9763106660268	48.0236893339731	-128.51501443835	1.02368933397315	15	0	1	0	16	0	1.48045789985918	0.31662409985438	58.6713071321958	0
3	10037	37	1	3	39.603707760101	-36.603707760101	25.6273970940741	-24.603707760101	15	0	2	0	16	0	1.50495410012081	0.311695100041106	50.9061411137705	0
16	10037	37	1	16	29.3271794904568	-13.3271794904568	-10.2765282696442	-14.3271794904568	15	0	3	1	16	0	1.73195110005327	0.568657000083476	35.5376777919744	0
4	10037	37	1	4	29.7125655758833	-25.7125655758833	0.385386085426498	-14.7125655758833	15	0	4	0	16	0	1.97514750016853	0.0957308001816273	49.3987053549955	0
13	10037	37	1	13	26.2319399331566	-13.2319399331566	-3.48062564272664	-11.2319399331566	15	0	5	1	16	0	2.55287419981323	0.258083999855444	28.072486935853	0
356	10037	37	1	356	27.2918085556198	-31.2918085556198	1.05986862246312	-12.2918085556198	15	0	6	0	16	0	2.56797660002485	0.0548523999750614	19.4400348281762	0
5	10037	37	1	5	26.4583552491757	-21.4583552491757	-0.83345330644403	-11.4583552491757	15	0	7	0	16	0	2.15188149991445	0.538291199831292	39.0938588862295	0
8	10037	37	1	8	23.8752808539275	-15.8752808539275	-2.58307439524822	-8.8752808539275	15	0	8	0	16	0	2.1939679000061	0.363835300086066	19.1790080258107	0
14	10037	37	1	14	24.070339726281	-10.070339726281	0.19505887235346	-9.07033972628097	15	0	9	1	16	0	2.0507171000354	0.0707050999626517	33.6900675259798	0
73	10037	37	1	73	25.3097668516263	47.6902331483737	1.23942712534529	48.6902331483738	74	1	0	0	16	0	1.6858284000773	0.271593000041321	39.0938588862295	0
46	10037	37	1	46	71.9894565964395	-25.9894565964395	46.6796897448132	2.01054340356052	74	0	1	0	16	0	0.983092800015584	0.0695148000959307	61.927513064147	0
55	10037	37	1	55	58.5358563691343	-3.53585636913425	-13.4536002273052	15.4641436308657	74	0	2	1	16	0	0.914852900197729	0.154757800046355	17.3540246362613	0
79	10037	37	1	79	60.8380000013695	18.1619999986304	2.30214363223529	13.1619999986305	74	0	3	0	16	0	1.23427280015312	0.0369556001387537	72.4744316262771	0
93	10037	37	1	93	73.8355008477431	19.1644991522569	12.9975008463736	0.164499152256898	74	0	4	0	16	1	1.51451660017483	0.332191100111231	52.4314079711725	0
53	10037	37	1	53	73.6251622008011	-20.6251622008011	-0.210338646941974	0.374837799198873	74	0	5	0	16	0	1.5311243000906	0.556161199929193	66.8014094863518	0
59	10037	37	1	59	74.0868108295316	-15.0868108295316	0.461648628730468	-0.0868108295315982	74	0	6	0	16	0	1.74266360001639	0.268785000080243	56.3099324740202	0
72	10037	37	1	72	73.5847203238005	-1.58472032380047	-0.502090505731134	0.415279676199538	74	0	7	1	16	0	2.16235700016841	0.248969099950045	61.1892062570269	0
48	10037	37	1	48	73.8774012222828	-25.8774012222828	0.292680898482329	0.122598777717209	74	0	8	0	16	1	1.72701470018364	0.293904500082135	68.1985905136482	0
94	10037	37	1	94	74.0165843438658	19.9834156561342	0.139183121583017	-0.0165843438658076	74	0	9	0	16	0	1.95296160015278	0.407473400002345	64.9831065219	0
101	10037	37	1	101	73.9429709631544	27.0570290368456	-0.0736133807113705	0.0570290368455625	74	0	10	0	16	0	2.48215090017766	0.300803099991754	68.7494944928667	0
73	10037	37	1	73	73.2101696288153	-0.210169628815271	-0.732801334339171	0.789830371184734	74	0	11	1	16	0	1.10349259991199	0.273930300027132	52.4314079711725	0
76	10037	37	1	76	73.3438514927518	2.65614850724819	0.133681863936542	0.65614850724819	74	0	12	1	16	0	2.13536610011943	0.188602200010791	72.6459753637387	0
68	10037	37	1	68	73.4879282455943	-5.48792824559427	0.14407675284246	0.512071754405729	74	0	13	1	16	0	2.50192949990742	0.139600599883124	51.8427734126309	0
76	10037	37	1	76	73.5675843089049	2.43241569109511	0.079656063310615	0.432415691095111	74	0	14	1	16	0	1.44371380005032	0.247997700003907	57.0947570770121	0
103	10037	37	1	103	73.4791078109965	29.5208921890035	-0.0884764979084054	0.520892189003519	74	0	15	0	16	0	1.68512949999422	0.0372760000173002	72.6459753637387	0
70	10037	37	1	70	73.1967235979643	-3.19672359796425	-0.282384213032236	0.803276402035755	74	0	16	1	16	0	1.65391230001114	0.058194600045681	48.8140748342904	0
110	10037	37	1	110	73.1416012322617	36.8583987677383	-0.0551223657025155	26.8583987677383	100	1	0	0	16	0	2.17417269991711	0.0770004999358207	74.4758890032458	0
76	10037	37	1	76	72.3498757800699	3.65012421993015	-0.791725452191877	27.6501242199301	100	0	1	1	16	0	1.90660149999894	0.0942903000395745	31.6075022462489	0
69	10037	37	1	69	72.0151771089081	-3.01517710890812	-0.334698671161736	27.9848228910919	100	0	2	1	16	0	1.68761489982717	0.325796599965543	53.6156481841641	0
97	10037	37	1	97	71.9704390786509	25.0295609213491	-0.0447380302572331	28.0295609213491	100	0	3	0	16	0	1.25167550006881	0.239609099924564	74.0546040990772	0
75	10037	37	1	75	98.7615933905185	-23.7615933905185	26.7911543118676	1.23840660948148	100	0	4	0	16	1	1.4753869001288	0.0241080999840051	90	0
100	10037	37	1	100	98.7877562875628	1.21224371243719	0.026162897044291	1.21224371243719	100	0	5	1	16	0	2.27205199981108	0.108065999811515	270	0
143	10037	37	2	143	84.4724598483438	58.5275401516562	-14.315296439219	57.5275401516562	142	1	0	0	16	0	1.97101829992607	1.25938370008953	340.769327624339	1
151	10037	37	2	151	143.421575462284	7.57842453771576	58.9491156139404	-1.42157546228424	142	0	1	1	16	0	2.15117420000024	0.0709294001571834	13.3924977537511	0
143	10037	37	2	143	143.027237510432	-0.02723751043194	-0.394337951852286	-1.02723751043196	142	0	2	1	16	0	1.16459229984321	0.268872099928558	163.610459665965	0
127	10037	37	2	127	142.447416850195	-15.4474168501952	-0.579820660236781	-0.447416850195171	142	0	3	0	16	0	1.25071520009078	0.254648900125176	116.565051177078	0
119	10037	37	2	119	142.594643368591	-23.5946433685914	0.147226518396284	-0.594643368591456	142	0	4	0	16	0	1.49153280002065	0.247496800031513	36.2538377374448	0
165	10037	37	2	165	142.491325104377	22.5086748956228	-0.103318264214287	-0.491325104377169	142	0	5	0	16	1	1.91397080011666	0.247314900159836	60.2551187030577	0
146	10037	37	2	146	142.517588572282	3.48241142771845	0.0262634679043852	-0.517588572281555	142	0	6	1	16	0	1.73736020014621	0.356596100144088	94.2363947990588	0
146	10037	37	2	146	142.822339264822	3.177660735178	0.304750692540447	-0.822339264822004	142	0	7	1	16	0	1.78929059999064	0.291684800060466	143.130102354156	0
188	10037	37	2	188	142.169362918617	45.8306370813832	-0.652976346205208	43.8306370813832	186	1	0	0	16	0	0.972021299879998	0.00810529990121722	141.109316785237	0
187	10037	37	2	187	141.826862338474	45.1731376615263	-0.342500580143112	44.1731376615263	186	0	1	0	16	0	1.52854570001364	0.352417299989611	21.8014094863518	0
199	10037	37	2	199	186.602080229648	12.397919770352	44.7752178911743	-0.602080229647975	186	0	2	1	16	0	1.54672809992917	0.455467199906707	165.068582821862	0
195	10037	37	2	195	190.653902599938	4.34609740006154	4.05182237029049	-4.65390259993846	186	0	3	1	16	0	1.99102109996602	0.144955300027505	198.434948822922	0
184	10037	37	2	184	185.994092949108	-1.99409294910848	-4.65980965082998	0.0059070508915197	186	0	4	1	16	1	1.27749920007773	0.14460949995555	197.354024636261	0
176	10037	37	2	176	185.659481840162	-9.65948184016247	-0.334611108946026	0.340518159837546	186	0	5	1	16	0	1.90190099994652	0.324886200018227	180	0
210	10037	37	2	210	185.124923345979	24.8750766540209	-0.534558494183392	0.875076654020938	186	0	6	0	16	0	1.42010929994285	0.0417187998536974	180	0
213	10037	37	2	213	186.009005957495	26.9909940425055	0.884082611515458	-0.00900595749451946	186	0	7	0	16	0	2.20413750014268	0.0394799001514912	180	0
174	10037	37	2	174	185.617580590127	-11.6175805901268	-0.391425367367691	0.382419409873171	186	0	8	1	16	0	2.20910640014336	0.32962750014849	180	0
180	10037	37	2	180	185.492324557127	-5.49232455712748	-0.125256032999361	0.507675442872532	186	0	9	1	16	0	2.85665590013377	0.310188899980858	162.474431626277	0
187	10037	37	2	187	184.922418187136	2.07758181286398	-0.569906369991459	1.07758181286399	186	0	10	1	16	0	2.29575520008802	0.1002275000792	61.927513064147	0
