outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
282	20013	53	1	282	29.4274564031897	-107.42745640319	NaN	-109.42745640319	280	1	0	0	16	0	2.24031870003091	1.59375200001523	14.0362434679265	1
272	20013	53	1	272	283.378540195071	-11.3785401950714	-106.048916208118	-3.37854019507148	280	0	1	1	16	0	1.50009049999062	0.00515360001008958	272.941464993911	0
289	20013	53	1	289	306.511056119495	-17.5110561194953	23.1325159244238	-26.5110561194953	280	0	2	0	16	0	2.38458720000926	0.887819900002796	45	0
272	20013	53	1	272	327.455695312195	-55.4556953121953	20.9446391927	-47.4556953121953	280	0	3	0	16	0	1.3427270000102	0.0629422999918461	10.304846468766	0
120	20013	53	1	120	298.757120897302	-178.757120897302	-28.6985744148929	-169.757120897302	129	1	0	0	16	0	2.11915610003052	0.038287700037472	87.7093899573615	0
131	20013	53	1	131	117.239088075063	13.7609119249375	178.48196717776	11.7609119249375	129	0	1	1	16	0	1.58051100000739	0.0336254000430927	120.963756532074	0
167	20013	53	1	167	142.37376636133	24.6262336386698	25.1346782862677	-13.3737663613302	129	0	2	0	16	0	1.16568380000535	0.185127599979751	106.389540334035	0
105	20013	53	1	105	132.490635260148	-27.4906352601483	-9.8831311011819	-3.49063526014831	129	0	3	0	16	0	2.34288109996123	0.0280286999768578	68.9624889745782	0
128	20013	53	1	128	124.755912553541	3.24408744645861	-7.73472270660691	4.2440874464586	129	0	4	1	16	0	1.79392099997494	0.147157599974889	64.9831065219	0
149	20013	53	1	149	118.237445538167	30.7625544618327	-6.51846701537411	10.7625544618327	129	0	5	0	16	0	2.10592280002311	0.744277700025123	45	0
127	20013	53	1	127	37.1236978884303	89.8763021115697	-81.113747649737	91.8763021115697	129	0	6	0	16	0	1.06192619999638	0.0494580999948084	115.201123645475	0
142	20013	53	1	142	134.336371999987	7.66362800001326	97.2126741115565	-5.33637199998674	129	0	7	1	16	0	1.72594900004333	0.0280802000197582	86.4236656250026	0
146	20013	53	1	146	128.846895848803	17.1531041511967	-5.48947615118347	0.153104151196729	129	0	8	0	16	1	3.53884950000793	1.82197340001585	347.195733934713	0
135	20013	53	1	135	142.707485722965	-7.70748572296498	13.8605898741617	-13.707485722965	129	0	9	1	16	1	2.26328390004346	0.512011200014967	45	0
134	20013	53	1	134	138.563268062906	-4.56326806290615	-4.14421766005881	-9.56326806290617	129	0	10	1	16	0	3.95174480002606	1.07053940003971	23.1985905136482	0
123	20013	53	1	123	140.892227617319	-17.8922276173191	2.32895955441296	-11.8922276173191	129	0	11	0	16	0	1.73845979996258	0.582656499987934	270	0
115	20013	53	1	115	127.252227963892	-12.2522279638919	-13.6399996534272	1.74777203610809	129	0	12	1	16	0	1.27105850004591	0.0755368000245653	20.5560452195834	0
95	20013	53	1	95	113.117664325213	-18.1176643252128	-14.1345636386791	-30.1176643252128	83	1	0	0	16	0	2.46043729997473	0.0805398999946192	275.194428907735	0
92	20013	53	1	92	89.6744593013407	2.32554069865932	-23.4432050238721	-6.67445930134068	83	0	1	1	16	0	1.44668359996285	0.0489602999878116	242.102728969052	0
58	20013	53	1	58	115.463345061872	-57.4633450618716	25.7888857605309	-32.4633450618716	83	0	2	0	16	0	4.35727520001819	0.943196400010493	90	0
94	20013	53	1	94	57.8627510189582	36.1372489810418	-57.6005940429134	25.1372489810418	83	0	3	0	16	0	1.40225660003489	0.0396033999859355	26.565051177078	0
62	20013	53	1	62	95.4555217919203	-33.4555217919203	37.5927707729622	-12.4555217919203	83	0	4	0	16	0	1.37690739997197	0.00635129999136552	149.314826910405	0
74	20013	53	1	74	93.2336121248879	-19.2336121248879	-2.22190966703247	-10.2336121248879	83	0	5	0	16	0	1.29512130003422	0.0507214000099339	105.945395900923	0
71	20013	53	1	71	83.6263606341225	-12.6263606341225	-9.6072514907654	-0.626360634122473	83	0	6	1	16	1	2.47720910003409	0.158842200005893	238.392497753751	0
79	20013	53	1	79	67.002729035619	11.997270964381	-16.6236315985034	15.997270964381	83	0	7	1	16	0	2.93502019997686	0.972170200024266	157.61986494804	0
127	20013	53	1	127	111.10483858493	15.8951614150704	44.1021095493106	0.895161415070372	112	1	0	0	16	0	1.31590480002342	0.0684902000357397	199.440034828176	0
141	20013	53	1	141	125.737911852784	15.2620881472162	14.6330732678542	-13.7379118527838	112	0	1	0	16	0	4.18630190001568	0.104515600018203	200.556045219583	0
87	20013	53	1	87	148.72709657855	-61.7270965785498	22.989184725766	-36.7270965785498	112	0	2	0	16	0	1.43619959999342	0.036362899991218	5.9061411137705	0
110	20013	53	1	110	77.0501455267212	32.9498544732788	-71.6769510518286	34.9498544732788	112	0	3	0	16	0	1.89410740003223	0.0822574000339955	272.726310993906	0
127	20013	53	1	127	77.4365306014816	49.5634693985184	0.386385074760485	34.5634693985184	112	0	4	0	16	0	2.10552440001629	0.0236130999983288	270	0
115	20013	53	1	115	142.284023654417	-27.2840236544169	64.8474930529352	-30.2840236544169	112	0	5	0	16	0	1.43237699999008	0.503457899962086	176.423665625003	0
89	20013	53	1	89	102.116861929123	-13.1168619291226	-40.1671617252943	9.88313807087741	112	0	6	1	16	0	1.68036729999585	0.0318024000152946	118.072486935853	0
119	20013	53	1	119	85.7411538778297	33.2588461221703	-16.3757080512929	26.2588461221703	112	0	7	0	16	0	2.26491000002716	0.119814000034239	270	0
126	20013	53	1	126	91.2319774026397	34.7680225973603	5.49082352481006	20.7680225973603	112	0	8	0	16	0	1.16880569997011	0.0224007999640889	108.434948822922	0
115	20013	53	1	115	108.91641462876	6.08358537123963	17.6844372261206	3.08358537123964	112	0	9	1	16	0	1.98814730002778	0.291427900025155	180	0
96	20013	53	1	96	112.186677893448	-16.186677893448	3.27026326468763	-0.186677893447992	112	0	10	0	16	1	2.20463870000094	0.703487299964763	188.972626614896	0
116	20013	53	1	116	81.0107514593984	34.9892485406016	-31.1759264340496	30.9892485406016	112	0	11	0	16	0	2.56671340001049	0.621618599980138	50.1944289077348	0
114	20013	53	1	114	89.085783239551	24.914216760449	8.07503178015258	22.914216760449	112	0	12	0	16	0	4.88019509997685	0.0312573999981396	287.354024636261	0
117	20013	53	1	117	109.025606037569	7.97439396243132	19.9398227980177	2.97439396243133	112	0	13	1	16	0	3.00237190001644	0.037836600036826	338.198590513648	0
137	20013	53	1	137	120.082352535491	16.9176474645086	11.0567464979227	-8.08235253549138	112	0	14	0	16	0	1.74741040001391	0.200550100009423	360	0
111	20013	53	1	111	139.887009834922	-28.8870098349215	19.8046572994301	-27.8870098349215	112	0	15	0	16	0	1.15511439996772	0.0943448999896646	66.8014094863518	0
105	20013	53	1	105	117.705745610692	-12.7057456106918	-22.1812642242297	-5.70574561069176	112	0	16	1	16	0	1.32374790002359	0.392557299986947	169.695153531234	0
127	20013	53	1	127	83.1335701975023	43.8664298024977	-34.5721754131895	28.8664298024977	112	0	17	0	16	0	1.63464760000352	0.0105015000444837	98.3658861240326	0
98	20013	53	1	98	92.6698897620076	5.33011023799237	9.53631956450532	19.3301102379924	112	0	18	1	16	0	0.982784799998626	0.019517199951224	97.7651660184253	0
125	20013	53	1	125	128.240918873029	-3.24091887302948	35.5710291110219	-16.2409188730295	112	0	19	1	16	0	1.91508090001298	0.668824299995322	166.759480084813	0
104	20013	53	1	104	141.34019174591	-37.3401917459099	13.0992728728804	-29.3401917459099	112	0	20	0	16	0	1.66289830004098	0.700392800034024	180	0
261	20013	53	1	261	119.487125672941	141.512874327059	-21.8530660729684	117.512874327059	237	1	0	0	16	0	2.6252088000183	0.0269816999789327	171.869897645844	0
244	20013	53	1	244	250.039784319676	-6.03978431967602	130.552658646735	-13.039784319676	237	0	1	1	16	0	2.02331889997004	0.209527099970728	301.328692867804	0
262	20013	53	1	262	238.659656912854	23.3403430871461	-11.3801274068221	-1.65965691285392	237	0	2	0	16	0	2.12738540000282	0.380836300028022	152.102728969052	0
322	20013	53	2	322	272.642545294065	49.3574547059354	33.9828883812107	59.3574547059353	332	1	0	0	16	0	3.18039400002453	1.81966849998571	220.236358309274	1
319	20013	53	2	319	298.750851983854	20.2491480161464	26.1083066897889	33.2491480161464	332	0	1	0	16	0	3.57307560002664	0.00581760000204667	315.58955222777	0
285	20013	53	2	285	322.624192504452	-37.6241925044518	23.8733405205982	9.37580749554819	332	0	2	0	16	0	1.22148159996141	0.0256556000094861	317.862405226112	0
336	20013	53	2	336	333.434948822922	2.56505117707801	10.8107563184702	-1.434948822922	332	0	3	1	16	1	1.70909099996788	0.00187659997027367	253.669751586345	0
331	20013	53	2	331	303.69006752598	27.3099324740203	-29.7448812969423	28.3099324740203	332	0	4	0	16	0	2.27963389997603	1.00159059994621	252.474431626277	0
325	20013	53	2	325	318.900493742382	6.09950625761811	15.2104262164021	13.0995062576181	332	0	5	1	16	0	1.4349059999804	0.0882978999870829	244.9831065219	0
326	20013	53	2	326	328.352304298743	-2.35230429874269	9.45181055636085	3.64769570125729	332	0	6	1	16	1	2.35841500002425	0.391098399995826	97.5946433685914	0
9	20013	53	2	9	327.188633201932	41.8113667980681	-1.16367109681081	4.8113667980681	332	0	7	0	16	1	3.33869830000913	0.820611300005112	188.972626614896	0
328	20013	53	2	328	13.8846676852582	-45.8846676852582	46.6960344833263	-41.8846676852582	332	0	8	0	16	0	2.25660700001754	0.0132590000284836	39.0765985223856	0
264	20013	53	2	264	334.01809183702	-70.0180918370198	-39.8665758482383	-47.0180918370198	287	1	0	0	16	0	1.96379139996134	0.0322915999568067	259.380344723845	0
297	20013	53	2	297	229.398705354996	67.6012946450045	-104.619386482024	57.6012946450045	287	0	1	0	16	0	1.70387239998672	0.0552818999858573	145.304846468766	0
276	20013	53	2	276	243.575724410681	32.4242755893189	14.1770190556856	43.4242755893189	287	0	2	0	16	0	1.16455629997654	0.0680891000083648	186.009005957495	0
309	20013	53	2	309	263.862744050738	45.137255949262	20.2870196400569	23.137255949262	287	0	3	0	16	0	1.00497900001938	0.0605887999990955	214.508522987668	0
319	20013	53	2	319	276.968256741379	42.0317432586214	13.1055126906406	52.0317432586214	329	1	0	0	16	0	1.46536239999114	0.354833699995652	190.304846468766	0
334	20013	53	2	334	293.559440896897	40.4405591031027	16.5911841555187	35.4405591031027	329	0	1	0	16	0	1.34465559996897	0.0315916999825276	196.389540334035	0
338	20013	53	2	338	348.566318734573	-10.5663187345733	55.0068778376761	-19.5663187345733	329	0	2	1	16	0	2.2545315999887	0.457808099978138	183.012787504183	0
