outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
40	20017	57	1	40	108.041169596835	-68.0411695968352	NaN	-103.041169596835	5	1	0	0	16	0	3.99958390009124	0.484070200007409	140.194428907735	1
8	20017	57	1	8	33.1322681024339	-25.1322681024339	-74.9089014944013	-28.1322681024339	5	0	1	0	16	0	3.23189470008947	0.348777699982747	332.525568373723	0
14	20017	57	1	14	17.4957578771864	-3.49575787718641	-15.6365102252475	-12.4957578771864	5	0	2	1	16	0	2.20375179999974	0.473871800000779	309.805571092265	0
339	20017	57	1	339	358.200724275866	-19.2007242758659	-19.2950336013205	6.7992757241341	5	0	3	0	16	0	2.84431389998645	0.450337799964473	26.565051177078	0
2	20017	57	1	2	332.768748852739	29.2312511472611	-25.431975423127	32.2312511472611	5	0	4	0	16	0	4.07557449990418	0.79277890000958	239.420773127511	0
6	20017	57	1	6	327.575465499744	38.4245345002556	-5.19328335299451	37.4245345002556	5	0	5	0	16	0	3.7772642999189	0.495533099980094	11.7682889320207	0
28	20017	57	1	28	12.3297496350723	15.6702503649277	44.7542841353279	-7.32974963507229	5	0	6	0	16	0	1.78412570001092	0.380850999965332	45	0
22	20017	57	1	22	34.2646477719177	-12.2646477719177	21.9348981368454	-29.2646477719177	5	0	7	1	16	0	2.38404419994913	0.45415939996019	14.0362434679265	0
9	20017	57	1	9	17.6884662482328	-8.68846624823283	-16.5761815236849	-12.6884662482328	5	0	8	1	16	0	3.90883159998339	0.659626799984835	248.198590513648	0
356	20017	57	1	356	3.29611597254632	-7.29611597254634	-14.3923502756865	1.70388402745368	5	0	9	1	16	0	1.48600080003962	0.49034360004589	6.00900595749454	0
20	20017	57	1	20	18.434948822922	1.56505117707798	15.1388328503757	-13.434948822922	5	0	10	1	16	0	3.13033590000123	0.64901169994846	343.610459665965	0
348	20017	57	1	348	25.4764262898436	-37.4764262898437	7.04147746692161	-20.4764262898436	5	0	11	0	16	0	3.96101680002175	0.529000799986534	14.7435628364707	0
344	20017	57	1	344	344.460087630366	-0.460087630366385	-41.0163386594772	20.5399123696336	5	0	12	1	16	0	1.65271469997242	0.507280899910256	325.007979801441	0
346	20017	57	1	346	339.443954780417	6.55604521958347	-5.01613284994987	25.5560452195835	5	0	13	1	16	0	2.34212679998018	0.911882600048557	338.198590513648	0
