outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
0	10038	38	1	0	111.540975918538	-111.540975918538	NaN	-104.540975918538	7	1	0	0	16	0	1.68918449990451	0.258344699861482	289.9831065219	1
354	10038	38	1	354	1.4465556865739	-7.4465556865739	-110.094420231965	5.5534443134261	7	0	1	1	16	0	1.57038130005822	0.389206300023943	335.772254682046	0
359	10038	38	1	359	355.117240436167	3.88275956383307	-6.32931525040697	11.8827595638331	7	0	2	1	16	0	1.4219480000902	0.407906300155446	239.036243467926	0
358	10038	38	1	358	349.27114070199	8.72885929801005	-5.84609973417696	17.72885929801	7	0	3	1	16	0	1.22380849998444	0.461955799954012	246.370622269343	0
353	10038	38	1	353	358.84266693187	-5.84266693187046	9.57152622988051	8.15733306812952	7	0	4	1	16	0	0.848416399909183	0.302402699831873	20.8544580395783	0
8	10038	38	1	8	348.407824589709	19.5921754102911	-10.4348423421616	18.5921754102911	7	0	5	0	16	0	1.03829240007326	0.425868100021034	277.594643368591	0
344	10038	38	1	344	6.76123851003723	-22.7612385100372	18.3534139203283	0.238761489962769	7	0	6	0	16	0	0.821103600086644	0.125948600005358	31.6075022462489	0
13	10038	38	1	13	342.121303404159	30.8786965958414	-24.6399351058786	24.8786965958414	7	0	7	0	16	0	1.2302181001287	0.366967800073326	21.8014094863518	0
10	10038	38	1	10	9.69560992338245	0.304390076617551	27.5743065192238	-2.69560992338245	7	0	8	1	16	0	1.03192099998705	0.352023599902168	33.6900675259798	0
29	10038	38	1	29	6.18525491558233	22.8147450844177	-3.51035500780011	0.814745084417666	7	0	9	0	16	0	1.09221120015718	0.0278369002044201	16.6992442339936	0
26	10038	38	1	26	4.91656600600999	21.08343399399	-1.26868890957235	2.08343399399001	7	0	10	0	16	0	0.945906899869442	0.333032900001854	62.1027289690524	0
0	10038	38	1	0	26.4410345319804	-26.4410345319804	21.5244685259704	-19.4410345319804	7	0	11	0	16	0	1.01327149989083	0.334724900079891	64.9831065219	0
339	10038	38	1	339	13.3034304356241	-34.3034304356242	-13.1376040963563	-6.30343043562414	7	0	12	0	16	0	1.2921554998029	0.29486809996888	287.65012421993	0
276	10038	38	1	276	345.34324888424	-69.3432488842396	-27.9601815513845	-75.3432488842396	270	1	0	0	16	0	1.00511509994976	0.0910183999221772	348.69006752598	0
284	10038	38	1	284	269.109463746639	14.8905362533605	-76.2337851376001	0.890536253360521	270	0	1	0	16	1	1.9428547997959	0.324445899808779	213.178511659393	0
254	10038	38	1	254	281.129189289611	-27.1291892896112	12.0197255429717	-11.1291892896112	270	0	2	0	16	0	1.59753030003048	0.516832299996167	351.469234390052	0
253	10038	38	1	253	270.575817593245	-17.575817593245	-10.5533716963662	-0.575817593244987	270	0	3	0	16	0	0.940734499832615	0.238160799955949	270	0
252	10038	38	1	252	256.667216429436	-4.66721642943615	-13.9086011638088	13.3327835705638	270	0	4	1	16	0	1.10643399995752	0.393669700017199	215.217592968193	0
241	10038	38	1	241	253.577812501685	-12.5778125016847	-3.08940392775138	16.4221874983152	270	0	5	1	16	0	1.11565009993501	0.45233349991031	229.398705354996	0
305	10038	38	1	305	241.805020937538	63.1949790624622	-11.7727915641469	28.1949790624622	270	0	6	0	16	0	1.1187171000056	0.371019799960777	180	0
262	10038	38	1	262	305.811163922641	-43.8111639226413	64.0061429851034	-35.8111639226413	270	0	7	0	16	0	1.3040346999187	0.458325200015679	32.4711922908485	0
282	10038	38	1	282	261.400911289223	20.5990887107775	-44.4102526334187	8.59908871077747	270	0	8	0	16	0	1.01098180003464	0.198307499988005	150.255118703058	0
255	10038	38	1	255	270	-15	8.59908871077747	0	270	0	9	0	16	1	1.80192969995551	0.433738300111145	323.746162262555	0
91	10038	38	1	91	262.273382380903	-171.273382380903	-7.72661761909717	-159.273382380903	103	1	0	0	16	0	1.116425300017	0.455353999976069	250.709953780811	0
97	10038	38	1	97	98.130102354156	-1.13010235415599	-164.143280026747	4.86989764584402	103	0	1	1	16	1	2.45647340011783	0.0203850001562387	270	0
104	10038	38	1	104	97.1909114084204	6.8090885915796	-0.939190945735576	5.8090885915796	103	0	2	1	16	0	1.3372501002159	0.624627300072461	270	0
109	10038	38	1	109	99.7132510249403	9.28674897505971	2.52233961651988	3.28674897505971	103	0	3	1	16	0	0.995195499854162	0.532770699821413	218.157226587369	0
