outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
110	10017	17	1	110	32.6919841825721	77.3080158174279	NaN	100.308015817428	133	1	0	0	16	0	3.510214000009	1.24765000026673	78.6900675259798	1
128	10017	17	1	128	132.535147082009	-4.53514708200876	99.8431628994367	0.464852917991228	133	0	1	1	16	1	3.37940489966422	0.0256334999576211	68.7494944928667	0
108	10017	17	1	108	134.001916656592	-26.0019166565923	1.46676957458354	-1.00191665659232	133	0	2	0	16	0	3.59168790001422	0.795866699889302	60.6422464572087	0
115	10017	17	1	115	107.665186201579	7.33481379842075	-26.3367304550131	25.3348137984208	133	0	3	1	16	0	2.19163789972663	0.21177040040493	3.81407483429035	0
160	10017	17	1	160	105.542578612396	54.4574213876039	-2.12260758918312	27.4574213876039	133	0	4	0	16	0	2.64301680028439	0.313700600527227	90	0
147	10017	17	1	147	159.863696571752	-12.8636965717519	54.3211179593557	-26.8636965717519	133	0	5	1	16	0	2.31890270020813	0.372178600169718	317.489552921999	0
145	10017	17	1	145	146.580619182228	-1.58061918222808	-13.2830773895238	-13.5806191822281	133	0	6	1	16	0	1.48339830059558	0.487059599719942	66.8014094863518	0
152	10017	17	1	152	145.676355682696	6.32364431730422	-0.904263499532299	-12.6763556826958	133	0	7	1	16	0	1.56449239980429	0.41941300034523	90	0
153	10017	17	1	153	151.9938495308	1.00615046920011	6.31749384810409	-18.9938495307999	133	0	8	1	16	0	1.17746860068291	0.366892300546169	100.619655276155	0
136	10017	17	1	136	153.129024608423	-17.1290246084233	1.13517507762345	-20.1290246084233	133	0	9	0	16	0	1.82032979931682	0.408797799609601	38.453709216706	0
130	10017	17	1	130	136.152345911566	-6.15234591156639	-16.9766786968569	-3.1523459115664	133	0	10	1	16	0	1.45231520012021	0.460502400062978	225	0
96	10017	17	1	96	131.18592516571	-35.1859251657096	-4.96642074585675	1.81407483429034	133	0	11	0	16	0	1.13161959964782	0.387700499966741	69.4439547804166	0
152	10017	17	1	152	96.4588163787187	55.5411836212814	-34.727108786991	36.5411836212813	133	0	12	0	16	0	1.45014899969101	0.37236119993031	90	0
105	10017	17	1	105	149.201202070241	-44.2012020702408	52.7423856915221	-16.2012020702408	133	0	13	0	16	0	1.20837949961424	0.462882899679244	122.735226272108	0
138	10017	17	1	138	106.650105498603	31.349894501397	-42.5510965716377	26.349894501397	133	0	14	0	16	0	1.71385450009257	0.384534699842334	131.820169880136	0
32	10017	17	1	32	108.019769281777	-76.0197692817772	1.36966378317411	-67.0197692817771	41	1	0	0	16	0	2.25931889936328	0.412426999770105	53.7461622625552	0
26	10017	17	1	26	32.15764064479	-6.15764064478998	-75.8621286369872	8.84235935521002	41	0	1	1	16	0	2.00171600002795	0.556869199499488	356.820169880136	0
64	10017	17	1	64	27.2823317566335	36.7176682433665	-4.87530888815644	13.7176682433665	41	0	2	0	16	0	1.32471380010247	0.462119599804282	96.8427734126309	0
35	10017	17	1	35	64.2104788451841	-29.2104788451841	36.9281470885505	-23.2104788451841	41	0	3	0	16	0	1.30256629921496	0.374996399506927	77.7352262721076	0
28	10017	17	1	28	35.4399035191137	-7.43990351911368	-28.7705753260704	5.56009648088632	41	0	4	1	16	0	1.27856779936701	0.384546999819577	86.4236656250026	0
48	10017	17	1	48	31.5763038940298	16.4236961059702	-3.86359962508391	9.42369610597023	41	0	5	0	16	0	1.90335409995168	0.441693400032818	64.5366549381284	0
