ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
24	1	1	334	5.21407092942439	-31.2140709294244	NaN	-33.2140709294244	332	1	0	0	16	0	1.44884299999103	1.02131270000245
24	1	0	320	4.04720191512217	-44.0472019151222	-1.16686901430222	-32.0472019151222	332	0	1	0	16	0	2.45496429991908	0.308365599950776
24	1	0	322	328.545785739871	-6.54578573987065	-35.5014161752515	3.45421426012934	332	0	2	1	16	0	1.18246270006057	0.186614800011739
24	1	0	331	332.390949945551	-1.39094994555069	3.84516420568004	-0.390949945550702	332	0	3	1	16	1	2.43278200004715	0.365360900061205
24	1	0	311	330.642246457209	-19.6422464572087	-1.74870348834199	1.35775354279129	332	0	4	0	16	0	2.27422129991464	0.97680019994732
24	1	0	9	324.2726017772	44.7273982227997	-6.36964468000842	7.72739822279971	332	0	5	0	16	0	1.61864890006837	0.120360000059009
24	1	0	1	323.714732874861	37.2852671251388	-0.557868902339122	8.28526712513883	332	0	6	0	16	0	1.9358298999723	0.806960399961099
24	1	0	313	351.573030978519	-38.5730309785193	27.8582981036582	-52.5730309785193	299	1	0	0	16	0	2.07006529998034	0.0728000999661162
24	1	0	311	351.912120025462	-40.912120025462	0.339089046942661	-52.912120025462	299	0	1	0	16	0	2.05328469991218	0.275086499983445
24	1	0	332	315	17	-36.912120025462	-16	299	0	2	0	16	0	1.00025140005164	0.173054700018838
24	1	0	302	320.607431960692	-18.6074319606918	5.60743196069179	-21.6074319606918	299	0	3	0	16	0	1.4890551000135	0.0604951999848709
24	1	0	331	320.877392606643	10.1226073933569	0.269960645951349	-21.8773926066431	299	0	4	1	16	0	1.40205489995424	0.37125179998111
24	1	0	293	299.310007070916	-6.31000707091616	-21.567385535727	-0.310007070916122	299	0	5	1	16	1	1.65649259998463	0.204645299934782
24	1	0	80	298.197742968852	141.802257031148	-1.11226410206378	141.802257031148	80	1	0	0	16	0	1.66579439991619	0.470433099893853
24	1	0	94	80.2175929681927	13.7824070318073	142.01984999934	-0.21759296819272	80	0	1	1	16	1	1.28048130008392	0.00434610003139824
24	1	0	48	85.215470311835	-37.215470311835	4.99787734364225	-5.21547031183497	80	0	2	0	16	0	2.6631342000328	0.113817500066943
24	1	0	74	48.2020205833222	25.7979794166778	-37.0134497285128	31.7979794166778	80	0	3	0	16	0	1.28393799997866	0.421908799908124
