outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
140	20028	68	1	140	98.7359835844756	41.2640164155244	NaN	40.2640164155244	139	1	0	0	16	0	2.28165209991857	1.10075669991784	95.7105931374996	1
143	20028	68	1	143	140.477368728829	2.52263127117114	41.7413851443533	-1.47736872882887	139	0	1	1	16	0	1.15219960012473	0.0392166001256555	180	0
155	20028	68	1	155	140.563208820744	14.436791179256	0.0858400919151143	-1.56320882074399	139	0	2	0	16	0	1.39638339984231	0.00671190000139177	132.932133902285	0
145	20028	68	1	145	146.008774776967	-1.00877477696678	5.44556595622281	-7.00877477696679	139	0	3	1	16	0	1.10391999990679	0.0567036999855191	148.570434385161	0
130	20028	68	1	130	144.403132374213	-14.4031323742127	-1.60564240275409	-5.4031323742127	139	0	4	0	16	0	0.96908410009928	0.0405151001177728	138.652222780306	0
132	20028	68	1	132	137.743704976223	-5.74370497622349	-6.65942739798921	1.25629502377651	139	0	5	1	16	0	1.06163079990074	0.0822012999560684	113.629377730657	0
147	20028	68	1	147	138.611885009223	8.38811499077699	0.868180032999508	0.388114990777006	139	0	6	1	16	1	1.32761929999106	0.0262428000569344	126.253837737445	0
130	20028	68	1	130	137.85402497467	-7.8540249746704	-0.757860034552596	1.1459750253296	139	0	7	1	16	0	1.07981560006738	0.081106600118801	126.869897645844	0
234	20028	68	1	234	137.47420446817	96.5257955318296	-0.37982050649995	82.5257955318295	220	1	0	0	16	0	1.09912719996646	0.0703267001081258	137.121096396661	0
211	20028	68	1	211	233.949458084209	-22.9494580842089	96.4752536160384	-13.9494580842089	220	0	1	0	16	0	1.57077260012738	0.0581476001534611	255.963756532074	0
240	20028	68	1	240	222.199720831962	17.800279168038	-11.7497372522469	-2.19972083196202	220	0	2	0	16	0	1.56389290001243	0.151611099950969	183.012787504183	0
231	20028	68	1	231	227.75910765862	3.24089234137969	5.55938682665827	-7.75910765862029	220	0	3	1	16	0	1.11056460021064	0.049638100201264	96.3401917459099	0
227	20028	68	1	227	228.756452547804	-1.75645254780406	0.997344889183779	-8.75645254780407	220	0	4	1	16	0	1.16337560000829	0.0834244000725448	180	0
209	20028	68	1	209	228.136358368333	-19.1363583683326	-0.620094179471474	-8.13635836833259	220	0	5	0	16	0	0.82587860012427	0.112369500100613	203.198590513648	0
4	20028	68	1	4	223.870370455174	140.129629544826	-4.26598791315893	136.129629544826	0	1	0	0	16	0	1.26036849990487	0.146851100027561	201.801409486352	0
12	20028	68	1	12	3.81407483429035	8.18592516570965	139.943704379117	-3.81407483429035	0	0	1	1	16	0	1.22251679981127	0.0417022998444736	23.7494944928667	0
