outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
239	20025	65	1	239	71.565051177078	167.434948822922	NaN	160.434948822922	232	1	0	0	16	0	1.74811649997719	0.484961900161579	78.2317110679793	1
214	20025	65	1	214	238.802765626136	-24.8027656261362	167.237714449058	-6.80276562613615	232	0	1	0	16	0	1.70780249987729	0.461351899895817	273.36646066343	0
252	20025	65	1	252	213.69006752598	38.3099324740202	-25.1126981001564	18.3099324740202	232	0	2	0	16	0	3.61413430003449	0.348966799909249	180	0
243	20025	65	1	243	195.802513953936	47.1974860460645	-17.8875535720443	36.1974860460645	232	0	3	0	16	0	1.36443169997074	0.117024899926037	158.198590513648	0
247	20025	65	1	247	231.755622142036	15.2443778579636	35.9531081881009	0.244377857963601	232	0	4	0	16	1	7.2011375001166	1.2131658999715	180	0
262	20025	65	1	262	244.625682714779	17.3743172852206	12.8700605727429	2.37431728522064	247	1	0	0	16	0	10.5204831999727	4.13533099996857	57.7243556854224	0
224	20025	65	1	224	266.130815423635	-42.1308154236346	21.5051327088552	-19.1308154236346	247	0	1	0	16	0	1.37526600016281	0.413682000013068	360	0
266	20025	65	1	266	224.084809798284	41.9151902017155	-42.0460056253501	22.9151902017155	247	0	2	0	16	0	2.1291154997889	0.148997099837288	86.6335393365702	0
254	20025	65	1	254	266.478546623078	-12.4785466230778	42.3937368247934	-19.4785466230778	247	0	3	1	16	0	7.48621200001799	4.85557879996486	75.0685828218624	0
244	20025	65	1	244	275.79696861907	-31.79696861907	9.31842199599214	-28.7969686190699	247	0	4	0	16	0	3.12573780003004	1.36223430000246	38.6598082540901	0
242	20025	65	1	242	243.553819564222	-1.55381956422197	-32.243149054848	3.44618043577802	247	0	5	1	16	0	1.69838609988801	0.0831507998518646	143.130102354156	0
213	20025	65	1	213	242.147619881397	-29.147619881397	-1.40619968282501	4.85238011860303	247	0	6	0	16	0	1.67630730010569	0.781777899945155	243.434948822922	0
259	20025	65	1	259	202.661793794938	56.3382062050622	-39.4858260864591	44.3382062050622	247	0	7	0	16	0	1.78683380014263	0.221687200013548	71.565051177078	0
251	20025	65	1	251	258.794052492597	-7.7940524925974	56.1322586976596	-11.7940524925974	247	0	8	1	16	0	15.2156631001271	0.672967500053346	261.869897645844	0
251	20025	65	1	251	250.526855796998	0.473144203001659	-8.26719669559906	-3.52685579699835	247	0	9	1	16	0	3.22216219990514	0.691195599967614	70.7099537808112	0
262	20025	65	1	262	250.211859223298	11.7881407767017	-0.31499657370005	-3.2118592232983	247	0	10	1	16	0	1.75344829983078	0.7236486999318	240.255118703058	0
19	20025	65	1	19	262.874983651098	116.125016348902	12.6631244277999	106.125016348902	9	1	0	0	16	0	2.35401060013101	0.473905999911949	240.642246457209	0
8	20025	65	1	8	19.1601731219812	-11.1601731219812	116.285189470883	-10.1601731219812	9	0	1	1	16	0	2.16634640004486	0.571551900124177	17.7446716250569	0
12	20025	65	1	12	8.20235424462555	3.79764575537445	-10.9578188773557	0.797645755374445	9	0	2	1	16	0	3.50506190001033	0.54062859993428	51.8427734126309	0
352	20025	65	1	352	12.1115495089795	-20.1115495089795	3.90919526435391	-3.11154950897947	9	0	3	0	16	0	1.85107650002465	0.520721399923787	53.130102354156	0
354	20025	65	1	354	352.024960270007	1.9750397299929	-20.0865892389724	16.9750397299929	9	0	4	1	16	0	1.65253850002773	0.0744024000596255	273.36646066343	0
357	20025	65	1	357	353.632820135731	3.36717986426867	1.6078598657242	15.3671798642687	9	0	5	1	16	0	1.58082949998789	0.251180599909276	180	0
353	20025	65	1	353	356.912348715015	-3.91234871501488	3.2795285792836	12.0876512849851	9	0	6	1	16	0	1.88735769991763	0.307930100010708	23.1985905136482	0
9	20025	65	1	9	352.965024089569	16.0349759104312	-3.94732462544606	16.0349759104312	9	0	7	0	16	0	1.80196249997243	0.322258899919689	12.8042660652868	0
14	20025	65	1	14	9.4206525575446	4.5793474424554	16.4556284679758	-0.420652557544598	9	0	8	1	16	0	1.06761429994367	0.0565504999831319	265.03025927189	0
18	20025	65	1	18	14.1494760863452	3.8505239136548	4.7288235288006	-5.1494760863452	9	0	9	1	16	0	1.27321840007789	0.0438473001122475	16.3895403340348	0
324	20025	65	1	324	18.2771096092201	-54.2771096092201	4.12763352287493	-86.2771096092201	292	1	0	0	16	0	1.03610550006852	0.322816800093278	19.1790080258107	0
295	20025	65	1	295	324.49538381977	-29.4953838197705	-53.7817257894496	-32.4953838197705	292	0	1	0	16	1	3.28742330009118	0.0511028000619262	233.615648184164	0
294	20025	65	1	294	294.602794158285	-0.602794158284976	-29.8925896614856	-2.60279415828495	292	0	2	1	16	0	1.13782960013486	0.0592820001766086	257.471192290848	0
285	20025	65	1	285	294.189514154024	-9.18951415402424	-0.413280004260738	-2.18951415402422	292	0	3	1	16	0	1.62961219996214	0.417194199981168	53.130102354156	0
298	20025	65	1	298	284.743562836471	13.2564371635292	-9.44595131755347	7.25643716352925	292	0	4	1	16	0	1.79639369994402	0.117372900014743	180	0
295	20025	65	1	295	297.59215631183	-2.59215631182995	12.8485934753592	-5.59215631182996	292	0	5	1	16	0	2.58286660001613	0.480503200087696	329.53445508054	0
13	20025	65	1	13	295.0168934781	77.9831065219	-2.57526283372998	85.9831065219	21	1	0	0	16	0	2.25706319999881	0.0943076000548899	45	0
5	20025	65	1	5	12.5288077091515	-7.52880770915152	77.5119142310515	8.47119229084848	21	0	1	1	16	0	1.41335729998536	0.0487758999224752	40.6012946450045	0
38	20025	65	1	38	4.87598621246218	33.1240137875378	-7.65282149668934	16.1240137875378	21	0	2	0	16	0	1.48167360015213	0.45259470003657	360	0
19	20025	65	1	19	37.2939104750881	-18.2939104750881	32.4179242626259	-16.2939104750881	21	0	3	0	16	0	1.93604260007851	0.0185563000850379	340.559965171824	0
21	20025	65	1	21	18.4820283353445	2.51797166465553	-18.8118821397436	2.51797166465553	21	0	4	1	16	0	1.61039380007423	0.0645148998592049	287.354024636261	0
9	20025	65	1	9	21.3404718882393	-12.3404718882393	2.85844355289481	-0.340471888239277	21	0	5	1	16	1	1.97961120004766	0.0617780999746174	14.0362434679265	0
4	20025	65	1	4	9.12174774019564	-5.12174774019564	-12.2187241480436	11.8782522598044	21	0	6	1	16	0	1.92752930009738	0.548112299991772	336.801409486352	0
1	20025	65	1	1	3.60442053917569	-2.60442053917569	-5.51732720101995	17.3955794608243	21	0	7	1	16	0	1.57351180003025	0.360420800046995	345.963756532073	0
13	20025	65	1	13	1.57474506575318	11.4252549342468	-2.02967547342252	19.4252549342468	21	0	8	1	16	0	2.04682279983535	0.4330169998575	2.86240522611172	0
