beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,omikron_0,omikron_1
-0.00570790045113269,0.749731309516243,0.244452083363428,0.222837623114571,0.0116149603324532,-0.0182372340097809,0.00655001232055056,4.45363119702399,0.148600465355908
-0.00163512899453083,0.0597821665375345,0.771349384232001,0.872215642775081,-0.092872579343577,0.161075387720703,-0.302461103377159,9.40693646505014,0.160305137157598
0.0241976367077818,0.67000995361317,0.293388799325488,0.0910928557478605,0.123406968058848,0.00645772256718921,-0.152276269959975,5.9009658227736,0.281155805337895
-0.00593533295669084,0.392558797701251,0.457911704959205,0.332465167042547,-0.0848959563806127,0.206356423094485,0.0555723457074084,9.02358341081069,0.368419950920617
0.0096164958184784,0.487970956493829,0.27691429101015,0.208760350669578,0.322381377520626,0.0691565338431438,-0.0998636006864978,7.98429008463056,0.243902767862692
-0.00312751089776038,0.264063649970022,0.743585570613575,0.814061943367543,0.0245801817127116,-0.289422081229915,-0.154033771766009,3.0000000061823,0.334217397548308
-0.00231646839362031,0.597637827970723,0.313515967670444,0.268303198297109,-0.0532004957452955,0.158078100694199,-0.0642736919566854,3.76925965915517,0.268617615037609
-0.000552944841919525,0.727417056423247,0.151027352365236,0.270377097970911,-0.0772614461377602,-0.122013346467314,-0.0420472512443298,4.20693401520887,0.214930350482963
0.0382800460224824,0.838613950140696,0.116599082829955,0.185597240718843,-0.178516374424545,-0.0295685700976981,0.0297741638589293,8.32934864998843,0.0479493151593062
-0.00809693546322844,0.873193342474845,0.0999004719674948,0.118890830714183,-0.185147662254456,-0.0379408259441667,-0.145187096864103,7.59615109127632,0.0911904743135147
-0.0156791777122035,0.622455969046846,0.260172169944259,0.384090187694125,-0.0703026835483648,0.0863412881042509,0.140304306603242,15.9028640265079,0.0978770700980187
-0.0122303050556418,0.937236907352201,-0.155350447584902,-0.0260333870026838,0.619491163985776,0.019328637843421,-0.0894830763651687,13.3445718876233,0.158759879849472
0.0193332475385231,0.404428899821554,0.453983462074821,0.569695031453581,0.19435612615559,0.0393609280481773,-0.320893579545723,14.1977307767035,0.0477493312030595
-0.0185432889748481,0.544850246029446,0.39972182798752,0.430898297676665,-0.164530162965555,-0.0196790331864492,-0.0243483189624338,11.9151830933679,0.10023607411181
0.00278606860198491,0.634524443250905,0.0848898157669119,0.0798048226061004,0.135799015704316,0.010086757669354,-0.236622683977776,5.81979114000048,0.460889804574349
-0.000175541742475104,0.246360921143547,0.574798806719617,0.643678586799433,-0.0969367665829482,-0.029447771433668,-0.349440716208628,3.00000888346883,0.355538064668517
-0.0205225393136167,0.729749272900136,0.240458284062019,0.177120071660326,-0.123744019638683,-0.123837477936348,0.0782722620870829,11.6596410034673,0.124815862679415
0.00352371824805136,0.846142249650588,0.239844421653144,0.155230264739574,-0.0231749301355564,-0.0428622284924029,-0.093555923368989,3.83228784672367,0.127780478236902
-0.00237700785354261,0.0378593648681739,0.688748537350954,0.886628865573189,-0.0315743400020357,0.585070574498726,-0.0940881616538194,3.0000000032012,0.253134634495032
0.0399422646089772,0.624560745729692,0.163193647890339,0.133215263204035,0.0034193461478829,0.0756311126968828,-0.248813716397545,14.4297870687642,0.245812913655851
0.00936531016382788,0.463716601370836,0.487276606661445,0.465397724433329,-0.0471106808167662,0.30234451480584,0.0261923954320065,10.8221841168872,0.141804148888699
0.00768108496706971,-0.0283443796951766,0.652144977211548,0.866919087680231,-0.121497535257158,0.117000465483821,-0.211683024239505,3.00017438365652,0.499960202587263
0.0130302641958605,0.55308533564575,0.254893004205616,0.305736267671264,-0.178930671872278,0.102822976557865,-0.237708730965952,6.40543366232041,0.202476633270464
-0.0156030024199854,0.11753681478737,1.18295400900564,0.552087541773735,-0.179672768454232,0.130442850040444,-0.0695378657483903,9.44026059937977,0.49999999881505
-0.0158555154618392,0.380524089806236,0.507336904904607,0.511157503252536,0.309137037532729,0.0832634131809972,-0.0813999393033108,11.4196828447525,0.0988265992099784
0.00611804128203566,0.851117206644045,0.106401701963684,0.151067147365282,-0.0814810917989321,-0.0173636651625247,0.131084663631338,9.39185766391808,0.11624407312004
0.0140030533266637,0.664253114761542,0.37635978684679,0.322524369761584,-0.12627053974485,-0.00302190385419115,-0.301057984117771,15.7559250828732,0.0176117800264337
-0.000477420146734033,0.91070667298602,0.0808696481695891,0.0884040554688264,-0.020174164447188,0.00709081741356741,-0.0985333168451401,6.94686269522349,1.44185319099879e-10
