outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
273	20016	56	1	273	37.5853697090253	-124.585369709025	NaN	-128.585369709025	269	1	0	0	16	0	1.76317029999336	0.281640200002585	299.744881296942	1
273	20016	56	1	273	272.563770211465	0.436229788535023	-125.02159949756	-3.56377021146498	269	0	1	1	16	0	1.46275110001443	0.0523851999896578	24.2277453179541	0
266	20016	56	1	266	272.895761973467	-6.89576197346655	0.331991762001555	-3.89576197346654	269	0	2	1	16	0	1.50063660001615	0.0533100999891758	32.7352262721076	0
256	20016	56	1	256	266.18592516571	-10.1859251657097	-6.70983680775688	2.81407483429034	269	0	3	1	16	0	1.23007649998181	0.365587899985258	286.389540334035	0
254	20016	56	1	254	255.355687362844	-1.35568736284434	-10.8302378028653	13.6443126371556	269	0	4	1	16	0	1.03691860003164	0.472729400033131	239.931417178138	0
264	20016	56	1	264	253.97413255155	10.0258674484497	-1.38155481129406	15.0258674484497	269	0	5	1	16	0	1.57843949995004	0.580040699976962	14.0362434679265	0
172	20016	56	1	172	263.990994042505	-91.9909940425055	10.0168614909552	-125.990994042505	138	1	0	0	16	0	1.54661700001452	0.132074799970724	60.6422464572087	0
144	20016	56	1	144	170.394795844987	-26.3947958449871	-93.5961981975184	-32.3947958449871	138	0	1	0	16	0	1.25187189999269	0.170680799987167	251.565051177078	0
120	20016	56	1	120	144.49538381977	-24.4953838197705	-25.8994120252166	-6.4953838197705	138	0	2	0	16	0	1.57244760001777	0.176324700005352	9.46232220802563	0
122	20016	56	1	122	119.248826336547	2.75117366345301	-25.2465574832235	18.751173663453	138	0	3	1	16	0	1.29680240002926	0.0655025999876671	117.897271030948	0
204	20016	56	1	204	121.210932649719	82.7890673502805	1.96210631317249	63.7890673502805	185	1	0	0	16	0	1.1829058000003	0.0364649000111967	247.520565602897	0
177	20016	56	1	177	204.55342308343	-27.5534230834295	83.3424904337101	-19.5534230834296	185	0	1	0	16	0	2.31591880001361	0.235141500015743	76.7594800848128	0
177	20016	56	1	177	176.666149338463	0.333850661536582	-27.8872737449661	8.33385066153657	185	0	2	1	16	0	1.20311199995922	0.0565853999578394	352.405356631409	0
202	20016	56	1	202	177.510447078001	24.4895529219992	0.844297739537426	7.48955292199914	185	0	3	0	16	0	1.62611929996638	0.314623599988408	71.565051177078	0
204	20016	56	1	204	202.425861921352	1.57413807864823	24.9154148433509	-17.4258619213518	185	0	4	1	16	0	1.5160364000476	0.0848300000070594	79.3803447238449	0
166	20016	56	1	166	203.545366383953	-37.5453663839533	1.11950446260148	-18.5453663839533	185	0	5	0	16	0	1.56847280001966	0.103525500046089	76.6075022462489	0
198	20016	56	1	198	164.69386102591	33.3061389740899	-38.8515053580431	20.3061389740899	185	0	6	0	16	0	1.38320789998397	0.251798799959943	167.905242922988	0
176	20016	56	1	176	198.152705886651	-22.1527058866512	33.4588448607411	-25.1527058866512	173	1	0	0	16	0	1.21699040004751	0.135479500051588	78.111341960372	0
165	20016	56	1	165	175.724158887371	-10.7241588873711	-22.4285469992801	-2.72415888737105	173	0	1	1	16	0	1.58652060001623	0.239880400011316	66.8014094863518	0
152	20016	56	1	152	164.744881296942	-12.7448812969422	-10.9792775904288	8.25511870305778	173	0	2	1	16	0	1.59763770003337	0.149353499989957	87.2736890060937	0
