ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
61	1	1	208	327.011478386365	-119.011478386365	NaN	-142.011478386365	185	1	0	0	16	0	2.72716309991665	1.09836159995757
61	1	0	201	202.324426970814	-1.32442697081395	-124.687051415552	-17.324426970814	185	0	1	1	16	0	2.00143550010398	0.438011100050062
61	1	0	215	172.273382380903	42.7266176190972	-30.0510445899112	12.7266176190972	185	0	2	0	16	1	5.33436149987392	0.814181599998847
61	1	0	195	229.492581479915	-34.4925814799153	57.2191990990125	-44.4925814799153	185	0	3	0	16	0	2.76017499994487	0.846273900009692
61	1	0	191	181.080924186661	9.9190758133393	-48.4116572932546	3.9190758133393	185	0	4	1	16	0	2.08740059984848	0.456110100029036
61	1	0	175	181.726987750488	-6.72698775048766	0.646063563826969	3.27301224951233	185	0	5	1	16	0	2.68516130000353	0.437378499889746
61	1	0	199	163.739795291688	35.260204708312	-17.9871924587996	21.260204708312	185	0	6	0	16	0	4.76652289996855	0.576851600082591
61	1	0	198	214.479215686126	-16.4792156861257	50.7394203944376	-29.4792156861257	185	0	7	0	16	0	1.18729809997603	0.406144500011578
61	1	0	169	204.634463735911	-35.634463735911	-9.84475195021466	-54.634463735911	150	1	0	0	16	0	2.00859489990398	0.528266799869016
61	1	0	178	155.142803233043	22.8571967669569	-49.4916605028679	-5.14280323304308	150	0	1	0	16	0	1.92853450006805	0.430524799972773
61	1	0	149	189.926245506652	-40.9262455066517	34.7834422736086	-39.9262455066517	150	0	2	0	16	0	1.24422889994457	0.467727800132707
61	1	0	172	138.468229258917	33.5317707410829	-51.4580162477346	11.5317707410829	150	0	3	0	16	0	1.43988459999673	0.443705799989402
61	1	0	160	172.05652818941	-12.0565281894096	33.5882989304924	-22.0565281894096	150	0	4	1	16	0	1.23002379992977	0.500953000038862
61	1	0	142	155.772254682046	-13.7722546820458	-16.2842735073638	-5.77225468204581	150	0	5	1	16	0	1.479156000074	0.531542500015348
61	1	0	153	141.692875357834	11.3071246421659	-14.0793793242117	8.30712464216593	150	0	6	1	16	0	3.28436530008912	0.219067400088534
61	1	0	166	158.331015037896	7.66898496210394	16.638139680062	-8.33101503789606	150	0	7	1	16	0	1.49996580020525	0.151634300127625
61	1	0	140	173.609504685353	-33.609504685353	15.2784896474569	-23.609504685353	150	0	8	0	16	0	1.36974100000225	0.456601899815723
61	1	0	197	133.602818972704	63.3971810272964	-40.0066857126494	64.3971810272964	198	1	0	0	16	0	2.36667219991796	0.503252800088376
61	1	0	220	207.987453190756	12.012546809244	74.3846342180524	-9.987453190756	198	0	1	1	16	0	2.07757790014148	0.529964500106871
61	1	0	212	232.728636995952	-20.7286369959516	24.7411838051956	-34.7286369959516	198	0	2	0	16	0	1.45395669993013	0.422691799933091
61	1	0	193	207.181111085477	-14.1811110854773	-25.5475259104743	-9.18111108547726	198	0	3	1	16	0	1.3824354999233	0.334373299963772
61	1	0	208	190.63721450929	17.36278549071	-16.5438965761872	7.36278549070994	198	0	4	0	16	1	4.20199740002863	0.481457100016996
61	1	0	224	218.740963694878	5.25903630512225	28.1037491855877	-20.7409636948778	198	0	5	1	16	0	1.67352949990891	0.526077299844474
61	1	0	205	227.164789153454	-22.1647891534535	8.42382545857576	-29.1647891534535	198	0	6	0	16	0	1.37953040003777	0.382395799970254
61	1	0	192	200.144762867064	-8.14476286706353	-27.02002628639	-2.14476286706355	198	0	7	1	16	0	1.44898270000704	0.517261599889025
61	1	0	230	187.853313301978	42.1466866980218	-12.2914495650853	10.1466866980218	198	0	8	0	16	0	1.73397070006467	0.0706452000886202
61	1	0	178	238.597390760266	-60.5973907602664	50.7440774582882	-40.5973907602664	198	0	9	0	16	0	2.00232940004207	0.538465599995106
61	1	0	218	179.090619550801	38.9093804491991	-59.5067712094656	18.9093804491991	198	0	10	0	16	0	1.39788129995577	0.518925500102341
61	1	0	208	210.819918057229	-2.81991805722912	31.7292985064283	-12.8199180572291	198	0	11	1	16	0	1.26494190003723	0.551893000025302
61	1	0	162	204.187353516741	-42.1873535167406	-6.6325645404885	-6.18735351674064	198	0	12	0	16	0	1.30023490008898	0.553779599955305
61	1	0	164	161.406775945664	2.59322405433613	-42.7805775710768	36.5932240543361	198	0	13	1	16	0	1.27859780006111	0.41520920000039
61	1	0	196	135.951669608179	60.0483303918214	-25.4551063374853	62.0483303918214	198	0	14	0	16	0	1.22660870011896	0.56668210006319
61	1	0	141	199.9831065219	-58.9831065219	64.0314369137214	-1.98310652189999	198	0	15	0	16	1	2.07386739994399	0.272136199986562
61	1	0	182	137.957941529059	44.0420584709406	-62.0251649928405	43.0420584709406	181	1	0	0	16	0	1.94286920013838	0.663337200181559
61	1	0	188	182.063819728457	5.93618027154303	44.1058781993975	-1.06381972845696	181	0	1	1	16	0	1.40177760017104	0.571872500004247
61	1	0	181	196.167717654642	-15.1677176546416	14.1038979261847	-15.1677176546416	181	0	2	0	16	0	1.28393570007756	0.436795599991456
61	1	0	173	178.099889034423	-5.09988903442315	-18.0678286202185	2.90011096557686	181	0	3	1	16	0	1.35946650011465	0.477741100126877
61	1	0	169	169.597753234896	-0.597753234895678	-8.50213579952748	11.4022467651043	181	0	4	1	16	0	1.20112250000238	0.538385399850085
61	1	0	208	167.388114853401	40.6118851465991	-2.20963838149477	13.6118851465991	181	0	5	0	16	0	1.24566960008815	0.21581369987689
61	1	0	297	206.318088139652	90.6819118603482	38.9299732862509	77.6819118603482	284	1	0	0	16	0	1.7628609999083	0.4680904999841
61	1	0	313	301.25508849343	11.7449115065697	94.9370003537786	-17.2550884934304	284	0	1	1	16	0	1.49081850005314	0.509927799925208
61	1	0	285	315.230102295097	-30.2301022950973	13.9750138016669	-31.2301022950972	284	0	2	0	16	0	2.83273260015994	0.753396400017664
61	1	0	268	268.323528953193	-0.323528953193243	-46.906573341904	15.6764710468067	284	0	3	1	16	0	1.50696790008806	0.2778686999809
61	1	0	299	322.980113745169	-23.9801137451685	54.6565847919753	-38.9801137451685	284	0	4	0	16	1	1.91030920017511	0.493258700007573
61	1	0	297	291.015816297374	5.98418370262622	-31.9642974477947	-7.01581629737379	284	0	5	1	16	0	1.82359010004438	0.526418900117278
61	1	0	249	316.397181027296	-67.3971810272964	25.3813647299226	-32.3971810272964	284	0	6	0	16	1	2.73115479992703	0.213491699891165
61	1	0	295	238.431028870682	56.5689711293183	-77.9661521566147	45.5689711293183	284	0	7	0	16	0	1.93591200001538	0.404257599962875
61	1	0	305	261.232418755447	43.767581244553	22.8013898847654	22.7675812445529	284	0	8	0	16	0	1.08402369986288	0.53652559989132
61	1	0	295	303.527526743538	-8.52752674353848	42.2951079880914	-19.5275267435385	284	0	9	1	16	0	1.55307859997265	0.44036619993858
61	2	1	312	73.5340857049173	-121.534085704917	130.006558961379	-145.534085704917	288	1	0	0	16	0	3.31472539994866	2.63654359988868
