ID	block	new_block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT
70	1	1	316	220.897203076758	95.102796923242	NaN	109.102796923242	330	1	0	0	16	0	4.138806800358	2.04063330031931
70	1	0	315	316.660282368983	-1.66028236898286	95.7630792922249	13.3397176310171	330	0	1	1	16	0	1.84688139986247	0.349110499955714
70	1	0	326	318.36646066343	7.63353933657022	1.70617829444695	11.6335393365702	330	0	2	1	16	0	0.92053319979459	0.27455179952085
70	1	0	325	327.030596096538	-2.03059609653787	8.66413543310805	2.96940390346213	330	0	3	1	16	0	0.937931500375271	0.207645899616182
70	1	0	334	329.700660725797	4.2993392742031	2.67006462925904	0.299339274203091	330	0	4	1	16	0	0.900456300005317	0.0707184998318553
70	1	0	313	336.390530461563	-23.3905304615625	6.68986973576566	-6.39053046156257	330	0	5	0	16	0	0.934921800158918	0.357871600426733
70	1	0	309	320.036044295239	-11.0360442952388	-16.3544861663237	9.96395570476113	330	0	6	1	16	0	1.03628939948976	0.0898500001057982
70	1	0	316	310.536148818032	5.46385118196834	-9.49989547720721	19.4638511819683	330	0	7	1	16	0	1.09734290000051	0.34983230009675
70	1	0	333	312.939888976277	20.0601110237232	2.4037401582452	17.0601110237231	330	0	8	0	16	0	1.41785600036383	0.470078200101852
70	1	0	311	325.054335599994	-14.0543355999944	12.1144466237175	4.94566440000559	330	0	9	1	16	0	0.859560499899089	0.395713799633086
70	1	0	323	310.754389215897	12.2456107841029	-14.2999463840973	19.2456107841029	330	0	10	1	16	0	0.953328800387681	0.0572424000129104
70	1	0	304	313.137379050693	-9.13737905069329	2.38298983479621	16.8626209493067	330	0	11	1	16	0	0.875602799467742	0.330229899846017
70	1	0	129	303.69006752598	-174.69006752598	-9.44731152471356	-174.69006752598	129	1	0	0	16	0	0.917130200192332	0.304240100085735
70	1	0	127	127.998732442505	-0.998732442504654	-175.691335083475	1.00126755749533	129	0	1	1	16	1	1.18780739977956	0.0724104000255466
70	1	0	138	129.941101956012	8.05889804398845	1.94236951350688	-0.941101956011548	129	0	2	1	16	1	0.996041999198496	0.479185599833727
70	1	0	125	134.587807258598	-9.58780725859767	4.64670530258613	-5.58780725859768	129	0	3	1	16	0	1.1552609000355	0.459357699379325
70	1	0	122	130.989515329483	-8.98951532948327	-3.59829192911441	-1.98951532948327	129	0	4	1	16	0	1.53036510013044	0.500100299715996
70	1	0	122	120.3321750963	1.66782490370006	-10.6573402331833	8.66782490370006	129	0	5	1	16	0	1.31614529993385	0.151980600319803
70	1	0	130	122.799531272619	7.20046872738077	2.4673561763193	6.20046872738076	129	0	6	1	16	0	0.782128999941051	0.368200000375509
70	1	0	130	127.874983651098	2.12501634890179	5.07545237847898	1.12501634890178	129	0	7	1	16	1	1.52380680013448	0.256172200664878
70	1	0	138	125.238225224958	12.7617747750422	-2.63675842614046	3.76177477504223	129	0	8	1	16	0	1.06118910014629	0.61442210059613
70	1	0	159	139.127591702512	19.8724082974883	13.889366477554	-10.1275917025117	129	0	9	0	16	0	0.936730499379337	0.323883200064301
70	1	0	142	155.513319068284	-13.513319068284	16.3857273657723	-26.513319068284	129	0	10	1	16	0	0.747014299966395	0.218507000245154
70	1	0	155	129.109373583796	25.8906264162041	-26.4039454844881	-0.109373583795909	129	0	11	0	16	1	1.02197459992021	0.355163000524044
70	1	0	108	146.397008059737	-38.3970080597374	17.2876344759415	-17.3970080597374	129	0	12	0	16	0	1.12462079990655	0.46174590010196
70	1	0	129	110.658910063307	18.3410899366925	-35.7380979964299	18.3410899366925	129	0	13	0	16	0	0.675758699886501	0.197029099799693
70	1	0	107	124.824489156957	-17.8244891569568	14.1655790936493	4.1755108430432	129	0	14	0	16	0	0.947684300132096	0.418385500088334
70	1	0	129	104.6678249037	24.3321750962999	-20.1566642532567	24.3321750962999	129	0	15	0	16	0	1.19772639963776	0.335143299773335
70	1	0	111	107.969139740157	3.03086025984298	3.30131483645697	21.030860259843	129	0	16	1	16	0	0.553893500007689	0.0564365005120635
70	1	0	159	130.30713749441	28.6928625055898	22.3379977542531	-1.30713749441017	129	0	17	0	16	1	2.03923849947751	0.22073379997164
70	1	0	142	157.420427435974	-15.4204274359737	27.1132899415635	-28.4204274359737	129	0	18	0	16	0	1.49806759972125	0.369097299873829
70	1	0	137	134.541643542	2.45835645800041	-22.8787838939741	-5.54164354199959	129	0	19	1	16	0	0.83831400051713	0.310720999725163
70	1	0	108	153.434948822922	-45.434948822922	18.8933052809224	-50.434948822922	103	1	0	0	16	0	1.10724849998951	0.428107900545001
70	1	0	82	106.135588661306	-24.1355886613055	-47.2993601616165	-3.13558866130551	103	0	1	0	16	0	0.785635199397802	0.220811399631202
70	1	0	86	66.0032227114343	19.9967772885657	-40.1323659498713	36.9967772885657	103	0	2	0	16	0	0.783766100183129	0.0705238999798894
70	1	0	107	88.1759101676239	18.8240898323761	22.1726874561896	14.8240898323761	103	0	3	0	16	0	0.700974599458277	0.273659599944949
70	1	0	105	108.434948822922	-3.434948822922	20.2590386552981	-5.434948822922	103	0	4	1	16	1	0.905998300760984	0.356590900570154
70	1	0	99	110.365536264089	-11.365536264089	1.93058744116699	-7.36553626408899	103	0	5	1	16	0	2.40910599939525	0.512331199832261
70	1	0	120	95.8394923115174	24.1605076884825	-14.5260439525715	7.16050768848255	103	0	6	0	16	0	1.16726200003177	0.471204600296915
70	1	0	104	119.488907812273	-15.4889078122726	23.6494155007551	-16.4889078122726	103	0	7	0	16	0	0.972308600321412	0.375892300158739
70	1	0	118	99.2110265408167	18.7889734591833	-20.2778812714559	3.78897345918332	103	0	8	0	16	0	1.04078199993819	0.463174500502646
70	1	0	110	105.945395900923	4.05460409907714	6.73436936010618	-2.94539590092286	103	0	9	1	16	0	0.99358110036701	0.396147799678147
70	1	0	105	102.200468727381	2.79953127261923	-3.74492717354208	0.799531272619226	103	0	10	1	16	0	0.828469499945641	0.385564800351858
70	1	0	98	102.938056317186	-4.93805631718646	0.73758758980568	0.0619436828135447	103	0	11	1	16	0	0.773898500017822	0.394142100587487
70	1	0	112	101.888658039628	10.111341960372	-1.04939827755849	1.11134196037204	103	0	12	1	16	0	0.953396399505436	0.64140409976244
70	1	0	290	113.782030423221	176.217969576779	11.8933723835934	-162.782030423221	311	1	0	0	16	0	0.862862500362098	0.417260400019586
70	1	0	328	290.762763911963	37.2372360880369	176.980733488742	20.2372360880369	311	0	1	0	16	0	0.918347000144422	0.224526000209153
70	1	0	303	327.195049661899	-24.1950496618987	36.4322857499355	-16.1950496618987	311	0	2	0	16	0	1.11368540022522	0.33293820079416
70	1	0	327	325.868525340169	1.13147465983127	-1.32652432172992	-14.8685253401688	311	0	3	1	16	0	0.969346099533141	0.010462099686265
70	2	1	140	110.782658854714	29.217341145286	144.914133514545	24.217341145286	135	1	0	0	16	0	2.00809920020401	0.7599365003407
70	2	0	161	133.293821705553	27.706178294447	22.511162850839	1.70617829444699	135	0	1	0	16	0	0.942315299995244	0.146842900663614
70	2	0	138	175.155999624919	-37.1559996249193	41.8621779193663	-40.1559996249193	135	0	2	0	16	0	0.755383299663663	0.198868599720299
70	2	0	161	139.622370241684	21.3776297583158	-35.5336293832351	-4.62237024168422	135	0	3	0	16	0	1.01100539974868	0.264964199624956
70	2	0	130	148.71734631836	-18.7173463183603	9.09497607667613	-13.7173463183603	135	0	4	0	16	0	1.3064128998667	0.393381800502539
70	2	0	104	123.769644946357	-19.7696449463571	-24.9477013720032	11.2303550536428	135	0	5	0	16	0	0.86709569953382	0.253358499146998
70	2	0	151	95.6514948814976	55.3485051185024	-28.1181500648595	39.3485051185024	135	0	6	0	16	0	0.845637699589133	0.369682899676263
70	2	0	147	132.745425034065	14.254574965935	37.0939301525673	2.25457496593502	135	0	7	1	16	1	1.34645009972155	0.113137099891901
70	2	0	139	137.6025622025	1.39743779750017	4.85713716843485	-2.60256220249983	135	0	8	1	16	1	4.60861960053444	0.321926800534129
70	2	0	131	132.055953650012	-1.05595365001239	-5.54660855248744	2.94404634998761	135	0	9	1	16	1	1.55160559993237	0.517655500210822
70	2	0	144	132.552951357676	11.4470486423236	0.496997707664004	2.44704864232361	135	0	10	1	16	0	0.907219399698079	0.509713899344206
70	2	0	147	141.842773412631	5.15722658736905	9.28982205495455	-6.84277341263094	135	0	11	1	16	0	0.95095959957689	0.142075099982321
70	2	0	65	153.004161605913	-88.0041616059134	11.1613881932824	-101.004161605913	52	1	0	0	16	0	0.947636599652469	0.400477999821305
70	2	0	55	52.6450132716707	2.35498672832926	-100.359148334243	-0.645013271670739	52	0	1	1	16	1	1.40961380023509	0.225644200108945
70	2	0	60	54.0446665344106	5.95533346558937	1.39965326273989	-2.04466653441063	52	0	2	1	16	0	1.28073110058904	0.467176499776542
70	2	0	47	61.9051580986356	-14.9051580986356	7.86049156422501	-9.90515809863563	52	0	3	0	16	0	1.08466280065477	0.440052300691605
70	2	0	66	50.5993393365206	15.4006606634794	-11.305818762115	1.40066066347942	52	0	4	0	16	0	1.35439909994602	0.556558500044048
70	2	0	36	65.4042284590554	-29.4042284590555	14.8048891225349	-13.4042284590554	52	0	5	0	16	0	1.05928470008075	0.394917899742723
70	2	0	267	37.551282126178	-130.551282126178	-27.8529463328775	-114.551282126178	283	1	0	0	16	0	0.92398769967258	0.0282402997836471
70	2	0	291	270	21	-127.551282126178	13	283	0	1	0	16	0	0.718638800084591	0.106660900637507
70	2	0	280	294.691558163478	-14.691558163478	24.691558163478	-11.691558163478	283	0	2	0	16	0	0.785445099696517	0.34165099915117
70	2	0	291	279.039482803355	11.9605171966449	-15.6520753601229	3.96051719664488	283	0	3	1	16	0	1.0668525993824	0.419906199909747
70	2	0	290	286.225275361178	3.77472463882181	7.1857925578231	-3.22527536117821	283	0	4	1	16	1	0.95393930003047	0.370390300638974
70	2	0	260	296.847294113349	-36.8472941133488	10.6220187521706	-13.8472941133488	283	0	5	0	16	0	1.06486609950662	0.468745899386704
70	2	0	269	279.904183212974	-10.9041832129739	-16.9431109003749	3.09581678702613	283	0	6	1	16	1	1.39026959985495	0.422787900082767
70	2	0	299	270.325540698659	28.6744593013407	-9.57864251431456	12.6744593013407	283	0	7	0	16	0	1.00014030002058	0.487044700421393
70	2	0	298	285.046391832199	12.9536081678015	14.7208511335392	-2.04639183219852	283	0	8	1	16	1	1.25589179992676	0.372658999636769
70	2	0	250	298.090728189459	-48.0907281894592	13.0443363572607	-15.0907281894592	283	0	9	0	16	0	1.23525299970061	0.406620500609279
70	2	0	255	260.828270969834	-5.82827096983404	-37.2624572196252	22.1717290301659	283	0	10	1	16	0	2.23564309999347	0.0367902992293239
70	2	0	269	255.068582821862	13.9314171781376	-5.7596881479716	27.9314171781376	283	0	11	1	16	0	0.947437899187207	0.458759999834001
70	2	0	279	285.147923730817	-6.1479237308173	30.0793409089548	-2.14792373081729	283	0	12	1	16	1	1.14754270017147	0.347010600380599
70	2	0	127	280.04202363553	-153.042023635529	-5.1059000952878	-144.042023635529	136	1	0	0	16	0	0.959374199621379	0.379147700034082
70	2	0	115	139.93416434056	-24.9341643405601	-140.107859294969	-3.93416434056007	136	0	1	0	16	1	1.02796069998294	0.162625000812113
70	2	0	122	134.204276447261	-12.2042764472607	-5.72988789329935	1.79572355273929	136	0	2	1	16	1	1.48053639940917	0.429344699718058
70	2	0	141	120.596009467063	20.4039905329373	-13.608266980198	15.4039905329373	136	0	3	0	16	0	1.45673559978604	0.392345599830151
70	2	0	138	137.17474411461	0.825255885389935	16.5787346475474	-1.17474411461004	136	0	4	1	16	0	0.72292899992317	0.310075200162828
