outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
305	20011	51	1	305	182.066476985644	122.933523014356	NaN	119.933523014356	302	1	0	0	16	0	1.81351550016552	0.202395600266755	194.036243467927	1
302	20011	51	1	302	304.992020198559	-2.99202019855863	122.925543212914	-2.99202019855863	302	0	1	1	16	0	1.30861810036004	0.0331431999802589	141.842773412631	0
291	20011	51	1	291	301.013884060415	-10.013884060415	-3.97813613814357	0.986115939584934	302	0	2	1	16	0	1.49791999999434	0.384848700836301	353.65980825409	0
314	20011	51	1	314	290.522460358534	23.4775396414664	-10.4914237018814	11.4775396414663	302	0	3	0	16	1	2.38982869964093	0.354734499938786	342.645975363739	0
321	20011	51	1	321	309.432799647355	11.5672003526452	18.9103392888211	-7.43279964735478	302	0	4	1	16	0	1.50510019995272	0.525409899652004	347.471192290848	0
293	20011	51	1	293	319.205357001709	-26.2053570017085	9.77255735435375	-17.2053570017085	302	0	5	0	16	1	6.89271840080619	0.169412500225008	328.392497753751	0
279	20011	51	1	279	288.34852991483	-9.34852991483046	-30.8568270868781	13.6514700851695	302	0	6	1	16	0	1.55740830022842	0.412325800396502	15.5241109967542	0
295	20011	51	1	295	261.05724605159	33.9427539484097	-27.2912838632401	40.9427539484097	302	0	7	0	16	0	1.26486709993333	0.321304900571704	156.801409486352	0
306	20011	51	1	306	295.641005824305	10.3589941756947	34.583759772715	6.35899417569471	302	0	8	1	16	0	1.12632330041379	0.0856643002480268	23.9624889745782	0
301	20011	51	1	301	306.753679185531	-5.75367918553149	11.1126733612262	-4.7536791855315	302	0	9	1	16	0	0.857681900262833	0.0767438001930714	42.7093899573615	0
314	20011	51	1	314	299.564138112533	14.4358618874668	-7.18954107299826	2.43586188746676	302	0	10	0	16	0	1.21957429964095	0.107890199869871	71.565051177078	0
302	20011	51	1	302	314.374979925983	-12.3749799259825	14.8108418134493	-12.3749799259825	302	0	11	1	16	1	1.29652860015631	0.26290119998157	46.974934010882	0
270	20011	51	1	270	301.015420881924	-31.0154208819241	-13.3595590440584	0.984579118075884	302	0	12	0	16	1	1.22580599971116	0.309375899843872	331.927513064147	0
298	20011	51	1	298	269.721867332704	28.2781326672963	-31.2935535492204	32.2781326672963	302	0	13	0	16	0	1.30173639953136	0.238024800084531	330.642246457209	0
313	20011	51	1	313	298.912993464262	14.0870065357377	29.1911261315586	3.0870065357377	302	0	14	1	16	0	1.04716979991645	0.15127220004797	256.759480084813	0
280	20011	51	1	280	312.45953259539	-32.4595325953897	13.5465391311274	-10.4595325953897	302	0	15	0	16	0	1.07880999986082	0.367005200125277	309.472459848344	0
317	20011	51	1	317	279.502194003617	37.4978059963834	-32.957338591773	22.4978059963833	302	0	16	0	16	0	1.07694000005722	0.313970500603318	326.30993247402	0
280	20011	51	1	280	316.416921174496	-36.4169211744956	36.914727170879	-14.4169211744956	302	0	17	0	16	0	4.86841150000691	0.0683873994275928	326.30993247402	0
308	20011	51	1	308	225	83	-91.4169211744956	77	302	0	18	0	16	0	3.2540504001081	0.321824200451374	301.607502246249	0
342	20011	51	1	342	308.433701379254	33.5662986207463	83.4337013792537	-6.43370137925373	302	0	19	0	16	0	0.762246299535036	0.199903599917889	306.253837737445	0
288	20011	51	1	288	341.751075781586	-53.7510757815856	33.3173744023318	-39.7510757815856	302	0	20	0	16	0	1.1113565005362	0.0470195999369025	320.527540151656	0
292	20011	51	1	292	289.276098853468	2.72390114653219	-52.4749769281177	12.7239011465322	302	0	21	1	16	1	0.950381400063634	0.0328386006876826	317.121096396661	0
311	20011	51	1	311	291.748844565766	19.2511554342337	2.47274571229844	10.2511554342337	302	0	22	0	16	0	0.87647040002048	0.133945999667048	251.565051177078	0
290	20011	51	1	290	309.496794431511	-19.4967944315114	17.7479498657451	-7.49679443151139	302	0	23	0	16	0	0.813259200192988	0.360203700140119	283.240519915187	0
293	20011	51	1	293	289.017033958112	3.98296604188758	-20.479760473399	12.9829660418876	302	0	24	1	16	0	1.16787000000477	0.321174100041389	360	0
306	20011	51	1	306	292.819655697983	13.1803443020173	3.80262173987033	9.18034430201726	302	0	25	1	16	0	1.06623550038785	0.218708200380206	328.392497753751	0
294	20011	51	1	294	306.408774567772	-12.4087745677724	13.5891188697896	-4.40877456777238	302	0	26	1	16	0	1.01106420066208	0.165184400044382	267.137594773888	0
250	20011	51	1	250	293.051300916473	-43.051300916473	-13.3574736512994	-50.051300916473	243	1	0	0	16	0	1.30129250045866	0.371683800593019	310.236358309274	0
262	20011	51	1	262	249.443954780417	12.5560452195835	-43.6073461360565	-6.44395478041653	243	0	1	1	16	0	1.31524960044771	0.135467699728906	325.491477012332	0
259	20011	51	1	259	261.869897645844	-2.86989764584404	12.4259428654275	-18.8698976458441	243	0	2	1	16	1	1.48825670033693	0.220720300450921	297.75854060106	0
241	20011	51	1	241	258.171828377082	-17.1718283770816	-3.69806926876241	-15.1718283770816	243	0	3	0	16	0	1.72324160020798	0.627495700493455	251.565051177078	0
236	20011	51	1	236	240.809688481761	-4.8096884817609	-17.3621398953207	2.19031151823907	243	0	4	1	16	0	1.78028940036893	0.3658691002056	270	0
248	20011	51	1	248	237.02410880269	10.9758911973104	-3.78557967907134	5.97589119731041	243	0	5	1	16	0	1.73896719980985	0.395988399162889	238.392497753751	0
240	20011	51	1	240	248.514556682937	-8.51455668293656	11.490447880247	-5.51455668293655	243	0	6	1	16	0	1.57983969990164	0.333196099847555	289.440034828176	0
247	20011	51	1	247	240.847704981927	6.15229501807315	-7.66685170100969	2.15229501807315	243	0	7	1	16	1	1.67555609997362	0.391913199797273	277.594643368591	0
254	20011	51	1	254	247.988716802081	6.01128319791939	7.14101182015378	-4.98871680208063	243	0	8	1	16	0	1.64510320033878	0.398260300047696	322.431407971173	0
223	20011	51	1	223	254.817993693898	-31.8179936938984	6.82927689181778	-11.8179936938984	243	0	9	0	16	1	1.48662749957293	0.0528403995558619	335.556045219583	0
223	20011	51	1	223	222.658354537801	0.34164546219915	-32.1596391560976	20.3416454621992	243	0	10	1	16	0	1.08664979971945	0.290172000415623	55.4914770123316	0
227	20011	51	1	227	223.702259323261	3.29774067673901	1.04390478546015	19.297740676739	243	0	11	1	16	0	2.1808826001361	0.0499053001403809	292.38013505196	0
258	20011	51	1	258	228.012787504183	29.9872124958166	4.31052818092238	14.9872124958166	243	0	12	0	16	0	1.37332179956138	0.326615800149739	226.548157698978	0
250	20011	51	1	250	249.476161510871	0.523838489129034	21.4633740066876	-6.47616151087098	243	0	13	1	16	0	1.38797140028328	0.107031700201333	284.036243467927	0
219	20011	51	1	219	232.568397021589	-13.5683970215894	-16.9077644892815	-8.56839702158942	224	1	0	1	16	0	2.11411770060658	0.384674999862909	232.594643368591	0
219	20011	51	1	219	242.115509646849	-23.1155096468491	9.54711262525969	-18.1155096468491	224	0	1	0	16	0	2.86418920010328	0.582548600621521	300.46554491946	0
227	20011	51	1	227	235.92948800218	-8.92948800218037	-6.18602164466875	-11.9294880021804	224	0	2	1	16	0	1.14675899967551	0.317457399331033	248.198590513648	0
231	20011	51	1	231	246.974507991472	-15.974507991472	11.0450199892916	-22.9745079914719	224	0	3	0	16	0	1.01332429982722	0.0502699995413423	317.121096396661	0
202	20011	51	1	202	225.392430709341	-23.3924307093409	-21.5820772821311	-1.39243070934087	224	0	4	0	16	0	0.809166500344872	0.0464944001287222	135	0
207	20011	51	1	207	219.166492415265	-12.1664924152648	-6.22593829407603	4.83350758473516	224	0	5	1	16	0	2.27689179964364	0.0965296998620033	187.594643368591	0
255	20011	51	1	255	225.892385458741	29.1076145412595	6.7258930434757	-1.89238545874054	224	0	6	0	16	0	0.939977400004864	0.11002270039171	45	0
242	20011	51	1	242	239.079033437203	2.92096656279729	13.1866479784622	-15.0790334372027	224	0	7	1	16	0	1.27173079922795	0.0917194001376629	351.869897645844	0
223	20011	51	2	223	229.123907560316	-6.1239075603156	-9.95512587688712	-14.1239075603156	215	1	0	1	16	0	2.0997986998409	0.586145400069654	30.0685828218624	1
220	20011	51	2	220	221.212426449441	-1.21242644944098	-7.91148111087462	-6.21242644944097	215	0	1	1	16	0	1.19620139990002	0.433574499562383	183.576334374997	0
