outcome	ID	subj_num	block	x_t	b_t	delta_t	a_t	e_t	mu_t	c_t	tac	r_t	kappa_t	v_t	RT	initRT	initTend	new_block
182	10035	35	1	182	304.810076937537	-122.810076937537	NaN	-95.8100769375367	209	1	0	0	16	0	1.00078120012768	0.486878799973056	326.30993247402	1
226	10035	35	1	226	184.513988458001	41.4860115419987	-120.296088479535	24.4860115419987	209	0	1	0	16	0	0.924860600149259	0.162505500018597	180	0
201	10035	35	1	201	259.77099171264	-58.7709917126405	75.2570032546392	-50.7709917126405	209	0	2	0	16	0	1.14883010019548	0.334824200021103	340.559965171824	0
210	10035	35	1	210	226.909152432996	-16.9091524329964	-32.8618392796441	-17.9091524329964	209	0	3	0	16	0	0.774843599880114	0.144750299863517	182.489552921999	0
213	10035	35	1	213	223.53801210122	-10.5380121012198	-3.37114033177658	-14.5380121012198	209	0	4	1	16	0	1.17460180004127	0.0969470001291484	2.86240522611172	0
174	10035	35	1	174	210.597784209334	-36.5977842093342	-12.9402278918856	-1.59778420933423	209	0	5	0	16	0	0.79856859985739	0.0688429998699576	156.801409486352	0
205	10035	35	1	205	161.644298401112	43.3557015988877	-48.9534858082219	47.3557015988877	209	0	6	0	16	0	1.03379799984396	0.454113599844277	149.931417178138	0
202	10035	35	1	202	192.994616791917	9.00538320808348	31.3503183908042	16.0053832080835	209	0	7	1	16	0	1.22531519993208	0.410654699895531	251.565051177078	0
187	10035	35	1	187	203.233505670516	-16.2335056705165	10.2388888786	5.76649432948351	209	0	8	0	16	0	0.649658899987116	0.036088400054723	201.801409486352	0
172	10035	35	1	172	173.690043491132	-1.69004349113213	-29.5434621793843	35.3099565088679	209	0	9	1	16	0	0.791786700021476	0.144474100088701	147.994616791916	0
207	10035	35	1	207	174.047540562032	32.9524594379675	0.357497070900344	34.9524594379675	209	0	10	0	16	0	2.03779950016178	0.341953700175509	345.963756532073	0
229	10035	35	1	229	197.612577842924	31.3874221570762	23.5650372808914	11.3874221570762	209	0	11	0	16	0	0.969459400046617	0.172838700003922	205.0168934781	0
206	10035	35	1	206	252.631604714551	-46.6316047145509	55.0190268716271	-43.6316047145509	209	0	12	0	16	0	1.2551625999622	0.190516999922693	323.130102354156	0
217	10035	35	1	217	218.94304779469	-1.94304779469044	-33.6885569198605	-9.94304779469045	209	0	13	1	16	0	2.20364940003492	0.293654100038111	360	0
216	10035	35	1	216	212.395852716238	3.60414728376181	-6.54719507845225	-3.3958527162382	209	0	14	1	16	0	0.810595500050113	0.180568299954757	237.264773727892	0
212	10035	35	1	212	211.000697712972	0.999302287027766	-1.39515500326597	-2.00069771297223	209	0	15	1	16	0	0.753357599955052	0.0572700998745859	182.6025622025	0
209	10035	35	1	209	208.823806638392	0.176193361608332	-2.17689107458056	0.176193361608332	209	0	16	1	16	0	2.93597460002638	0.0367867001332343	360	0
194	10035	35	1	194	223.652112719801	-29.6521127198014	14.8283060814097	-14.6521127198014	209	0	17	0	16	0	1.96385590010323	0.935369699960575	223.363422958383	0
184	10035	35	1	184	196.068700831466	-12.0687008314662	-27.5834118883352	12.9312991685338	209	0	18	1	16	0	2.41706460015848	1.45374900009483	34.695153531234	0
196	10035	35	1	196	187.843421074951	8.15657892504935	-8.2252797565156	21.1565789250494	209	0	19	1	16	0	1.11171259987168	0.0481604998931289	354.805571092265	0
214	10035	35	1	214	182.52611691162	31.4738830883804	-5.31730416333108	26.4738830883804	209	0	20	0	16	0	0.568403700133786	0.0558027001097798	197.65012421993	0
229	10035	35	1	229	217.482411427718	11.5175885722815	34.9562945160989	-8.4824114277185	209	0	21	1	16	0	1.22462710016407	0.594575800001621	219.805571092265	0
196	10035	35	1	196	222.259209405817	-26.2592094058174	4.77679797809895	-13.2592094058174	209	0	22	0	16	0	0.827190000098199	0.133599299937487	200.556045219583	0
223	10035	35	1	223	180.421284904169	42.5787150958314	-41.8379245016488	28.5787150958314	209	0	23	0	16	0	0.899687099969015	0.300470599904656	86.1859251657096	0
341	10035	35	1	341	235.525107871028	105.474892128972	55.1038229668597	106.474892128972	342	1	0	0	16	0	1.39252740005031	0.665520000038669	284.931417178138	0
338	10035	35	1	338	249.370120053874	88.6298799461262	13.8450121828455	92.6298799461262	342	0	1	0	16	0	1.05652039987035	0.44248819979839	90	0
355	10035	35	1	355	321.911227119025	33.0887728809753	72.5411070651508	20.0887728809753	342	0	2	0	16	0	0.914888500003144	0.0217991999816149	309.805571092265	0
359	10035	35	1	359	4.61064931866059	-5.61064931866059	42.6994221996359	-22.6106493186606	342	0	3	1	16	0	1.30125960009173	0.17015240015462	29.3577535427913	0
326	10035	35	1	326	348.69006752598	-22.6900675259797	-15.9205817926809	-6.69006752597975	342	0	4	0	16	0	0.95618150010705	0.328869299963117	11.3099324740202	0
352	10035	35	1	352	325.212667633887	26.7873323661131	-23.4773998920929	16.7873323661131	342	0	5	0	16	1	0.753701600013301	0.0536557000596076	7.59464336859145	0
331	10035	35	1	331	347.394422645615	-16.3944226456154	22.1817550117286	-5.3944226456154	342	0	6	0	16	0	0.861456000013277	0.0657962998375297	19.2900462191888	0
334	10035	35	1	334	342.064711005942	-8.06471100594167	-5.32971163967374	-0.0647110059416549	342	0	7	1	16	0	0.702926599886268	0.0561365999747068	356.18592516571	0
338	10035	35	1	338	324.563283829543	13.4367161704569	-17.5014271763986	17.4367161704569	342	0	8	1	16	0	0.657072300091386	0.0430683000013232	321.842773412631	0
238	10035	35	1	238	324.918650626061	-86.9186506260609	0.355366796517837	-88.9186506260609	236	1	0	0	16	0	2.6099948999472	0.228203099919483	243.434948822922	0
234	10035	35	1	234	213.69006752598	20.3099324740202	-111.228583100081	22.3099324740202	236	0	1	0	16	0	0.734627000056207	0.0372468000277877	197.525568373723	0
247	10035	35	1	247	235.827453103825	11.1725468961746	22.1373855778456	0.172546896174638	236	0	2	1	16	0	1.67755600018427	0.349091500043869	352.874983651098	0
237	10035	35	1	237	254.357753542791	-17.3577535427913	18.5303004389659	-18.3577535427913	236	0	3	0	16	0	1.4599699000828	0.432056500110775	6.70983680775691	0
221	10035	35	1	221	245.087253500573	-24.0872535005733	-9.27050004221795	-9.0872535005733	236	0	4	0	16	0	1.67195640015416	1.01318440004252	230.527540151656	0
235	10035	35	1	235	232.9124556156	2.08754438439948	-12.1747978849728	3.08754438439951	236	0	5	1	16	0	2.0386791001074	1.24215919990093	273.81407483429	0
239	10035	35	1	239	233.361132471051	5.63886752894851	0.44867685545097	2.63886752894854	236	0	6	1	16	0	1.02725330018438	0.363435200182721	227.489552921999	0
229	10035	35	1	229	238.276397042316	-9.27639704231599	4.91526457126452	-2.27639704231597	236	0	7	1	16	0	1.3098160000518	0.330488200066611	258.69006752598	0
233	10035	35	1	233	237.295266422998	-4.29526642299815	-0.981130619317838	-1.29526642299813	236	0	8	1	16	1	1.15933730010875	0.0419830000028014	218.157226587369	0
235	10035	35	1	235	239.006479429298	-4.0064794292984	1.71121300630023	-3.00647942929836	236	0	9	1	16	0	0.930551199940965	0.483264700043947	255.068582821862	0
344	10035	35	1	344	254.339970868157	89.6600291318435	15.3334914388581	80.6600291318435	335	1	0	0	16	0	1.27042140020058	0.040608000010252	47.4895529219991	0
313	10035	35	1	313	329.697319279512	-16.6973192795119	75.3573484113554	5.30268072048814	335	0	1	0	16	0	1.09482200001366	0.498546499991789	17.5255683737229	0
346	10035	35	1	346	327.35155915003	18.6484408499698	-2.34576012948169	7.64844084996982	335	0	2	0	16	0	2.08342420007102	1.21870249998756	310.236358309274	0
